日期,执行策略,收益率,资金余额
2014-07-24,超跌策略,0.011213456147376899,10112.13456147377
2014-07-25,超跌策略,0.051750862586258606,10635.446247618354
2014-07-28,超跌策略,0.0323886639676112,10979.914142278056
2014-12-23,超跌策略,0.12467030068577456,12348.78333989985
2014-12-24,超跌策略,0.048908958712919004,12952.749474425795
2014-12-25,超跌策略,0.0023470734927386605,12983.150529375303
2014-12-26,超跌策略,-0.046034838887929364,12385.473286497776
2014-12-29,超跌策略,-0.010201599748328127,12259.121645335315
2014-12-30,超跌策略,0.014778325123152802,12440.29093073436
2014-12-31,超跌策略,0.029632629202532623,12808.92945905644
2015-01-05,超跌策略,0.023930918030139914,13115.458899994965
2015-01-13,超跌策略,0.0077247191011236005,13216.772135879757
2015-01-14,超跌策略,-0.005714285714285672,13141.24772367473
2015-01-15,超跌策略,-0.005747126436781547,13065.723311469705
2015-01-16,超跌策略,0.0664234759978799,13933.594070244053
2015-01-20,超跌策略,0.06779220868560265,14878.183187194514
2015-04-17,超跌策略,0.05701941609427341,15726.528505071981
2015-04-20,超跌策略,0.05601174814905452,16607.398858957
2015-04-21,超跌策略,0.056969359847958145,17553.51174069149
2015-04-22,超跌策略,0.055762652398912316,18532.342114267896
2015-04-23,超跌策略,0.05634826676636129,19576.607471528136
2015-04-24,超跌策略,0.05499410145497441,20653.205408961563
2015-04-27,超跌策略,0.0552956743761297,21795.23833007882
2015-05-12,超跌策略,0.05660419356274771,23028.94021926082
2015-05-13,超跌策略,0.05536244707071991,24303.87870324442
2015-05-14,超跌策略,-0.10998662594566544,21630.77708728185
2015-06-24,超跌策略,0.0544944570589021,22809.534540415414
2015-06-29,超跌策略,0.07661089945337096,24556.993497669373
2015-07-02,超跌策略,-0.09733043695499544,22166.850590240232
2015-07-06,超跌策略,-0.09471766848816032,20067.258184607275
2015-07-10,超跌策略,0.10310678302581233,22136.328620170534
2015-07-13,超跌策略,0.09694915254237291,24282.426920295544
2015-07-14,超跌策略,-0.09451945988880073,21987.265042999934
2015-07-17,超跌策略,0.014437553275292059,22304.707353436213
2015-07-20,超跌策略,0.05527243306095975,23537.542797573315
2015-07-22,超跌策略,0.05718690977151564,24883.58213378133
2015-07-23,超跌策略,0.02289534031867735,25453.30021508201
2015-07-24,超跌策略,-0.09580364212193193,23014.7813504542
2015-07-29,超跌策略,-0.01008358920150132,22782.709749753845
2015-07-30,超跌策略,-0.03350083752093813,22019.46989214065
2015-07-31,超跌策略,-0.08626465661641536,20119.96788301964
2015-08-03,超跌策略,0.07220873786407767,21572.805369718266
2015-08-04,超跌策略,0.01830182106713507,21967.62699351098
2015-08-05,超跌策略,-0.0015793306457517753,21932.932846985685
2015-08-07,超跌策略,0.0727910454299372,23529.45395826238
2015-08-10,超跌策略,-0.007219901773250936,23359.573611905496
2015-08-11,超跌策略,-0.048068283917340526,22236.71899534041
2015-08-14,超跌策略,0.0031180775366450586,22306.054809328467
2015-08-18,超跌策略,0.047123457280993986,23357.193230243367
2015-08-26,超跌策略,0.09886209373493826,25666.334256756752
2015-08-27,超跌策略,0.0941471850916018,28082.74737865055
2015-08-28,超跌策略,-0.003973455101613621,27971.161842811525
2015-08-31,超跌策略,-0.03707766599597595,26934.056446484374
2015-09-07,超跌策略,0.06662137613994412,28728.440351980094
2015-09-08,超跌策略,0.06064237860076527,30470.601308414374
2015-09-09,超跌策略,-0.02816911979990322,29612.271289782562
2015-09-11,超跌策略,-0.10476777352424615,26509.859557756085
2015-09-14,超跌策略,-0.05515052339352566,25047.826928056977
2015-09-16,超跌策略,-0.016435734011407743,24636.147507103655
2015-09-17,超跌策略,0.09282700421940926,26923.047275695553
2015-09-18,超跌策略,0.039295429150491445,27980.99997243298
2015-09-22,超跌策略,-0.0046991885634866115,27849.5119773676
2015-09-24,超跌策略,-0.05199191707691686,26401.562460007703
2015-09-28,超跌策略,-0.0038269648797563116,26300.524607702562
2015-09-30,超跌策略,0.049283213611752696,27596.698980045127
2015-10-08,超跌策略,0.029553077600037003,28412.26636650726
2015-10-09,超跌策略,0.05449493745327283,29960.5910450558
2015-10-12,超跌策略,0.00554805555260085,30126.814068562526
2015-10-15,超跌策略,0.017875920084121866,30665.358589241347
2015-10-16,超跌策略,0.0027808607348394077,30750.63468086194
2015-10-19,超跌策略,0.052132185527818065,32353.73247314279
2015-10-20,超跌策略,-0.09618433875451327,29241.810108973128
2015-10-22,超跌策略,0.05913050345534421,30970.893062662282
2015-10-23,超跌策略,0.008853150990021597,31245.083055241845
2015-10-26,超跌策略,0.01890157422251071,31835.66431169901
2015-10-29,超跌策略,-0.011793966226668617,31460.19556200327
2015-10-30,超跌策略,0.006617647058823506,31668.388032634175
2015-11-03,超跌策略,0.06793095265100502,33819.6518006127
2015-11-04,超跌策略,0.01940844002974207,34476.03848441165
2015-11-05,超跌策略,0.03278611890346128,35606.37398148188
