_id,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,代码,昨日成交额,开盘收盘幅,开盘开盘幅,EMA121开盘比值,EMA121收盘比值,EMA121最高比值,EMA121最低比值,EMA9开盘比值,EMA4开盘比值,EMA9开盘动能4,EMA9收盘比值,EMA4收盘比值,EMA9收盘动能4,EMA9最高比值,EMA4最高比值,EMA9最高动能4,EMA9最低比值,EMA4最低比值,EMA9最低动能4,60日最高开盘价,60日最低开盘价,最高开盘价日期,最低开盘价日期,1日后总涨跌幅（未来函数）,2日后总涨跌幅（未来函数）,3日后总涨跌幅（未来函数）,4日后总涨跌幅（未来函数）,5日后总涨跌幅（未来函数）,6日后总涨跌幅（未来函数）,7日后总涨跌幅（未来函数）,8日后总涨跌幅（未来函数）
643c9e6e7bb07cf12acdeacb,2014-07-24,24.99,24.97,25.05,24.65,23932.0,27741255.0,1.61,0.4828973843058248,0.12,0.54,601700.0,35735682.0,0.5633802816901179,-0.715137067938032,0.7815652551507019,0.7815700364998435,0.769905839859179,0.7854928802239564,0.9492677162030976,0.988919667590028,1.041771094402674,0.9562571805455092,1.0042228031369391,1.050159751547243,0.9417686620159564,0.9787067786677092,1.039222070282826,0.9553029324376692,1.0071501532175682,1.054273067756213,34.91,24.97,57.0,0.0,1.12134561473769,8.81057268722467,12.334801762114544,14.81778133760514,14.737685222266729,12.975570684821802,13.376051261513824,16.419703644373264
643c9e6e7bb07cf12acdeacc,2014-07-25,24.97,25.25,25.39,24.81,28834.0,33777868.0,2.32,1.12134561473769,0.28,0.66,601700.0,27741255.0,0.0,-0.0800320128051201,0.7818774665200231,0.7914109793783725,0.7816859658898634,0.7915920651202283,0.9577242701896436,1.0048289738430585,1.0491839928459654,0.9757825582893216,1.0071798962903866,1.0321765722643257,0.9635673624288416,1.0053454761433387,1.0433577509404095,0.9706150836774612,1.0079219987812302,1.038436364457083,34.91,25.39,56.0,0.0,7.603960396039611,11.0891089108911,13.544554455445557,13.465346534653456,11.722772277227731,12.118811881188108,15.12871287128712,21.069306930693067
643c9f0c7bb07cf12ad340a3,2014-07-25,62.41,63.36,64.05,62.36,112758.0,135854192.0,2.71,1.6035920461834552,1.0,1.95,600633.0,163563178.0,0.0801796023091716,-1.0150674068199803,0.796434631930536,0.8110925144993617,0.8010048152998163,0.8163027744661701,0.9704220728736545,0.9819068596601636,1.0118348367247048,0.9898797021195336,0.999763313609468,1.0099846592154298,0.9878838771593084,0.9963056581761616,1.008525071834425,0.9857383729099336,0.9951725513664484,1.009570671808854,108.35,63.36,35.0,0.0,2.7462121212121104,5.839646464646475,4.924242424242431,8.17550505050506,5.334595959595956,6.755050505050497,10.748106060606055,9.832702020202031
643c9e6e7bb07cf12acdeacd,2014-07-28,25.39,27.17,27.27,25.39,105212.0,131165606.0,7.45,7.603960396039611,1.92,2.4,601700.0,33777868.0,0.554455445544555,1.6820184221065348,0.7960753218956406,0.8525524162701142,0.8405025179388819,0.8111585489820221,0.9820361854828308,1.0103461997612415,1.0288278728390157,1.049620122762588,1.0629890453834114,1.0127369153190742,1.0352638461213977,1.059029126213593,1.0229557713052877,0.9998249835922116,1.0190648203893231,1.0192432046736677,34.91,27.39,55.0,0.0,3.23886639676112,5.5207949944791945,5.447184394552807,3.827751196172247,4.195804195804187,6.993006993006978,12.513801987486197,10.011041589988956
643c9dd07bb07cf12ac9bb51,2014-12-23,56.23,56.87,57.52,54.94,133207.0,58190592.0,4.59,1.1381824648764027,0.64,2.52,509.0,102254989.0,0.0,-9.583534330278177,0.7458025634589274,0.7548952172830315,0.7454104784926248,0.7481290415515952,0.8603706222373352,0.903039306219136,1.0495933762485334,0.8805374438728986,0.943195953229954,1.071159392247378,0.8674989526602422,0.9118940985295874,1.051176022441531,0.8731414444640646,0.9349102356845062,1.0707431672291714,130.15,56.87,59.0,0.0,12.467030068577456,26.059433796377697,23.50975909970108,18.41040970634782,15.298048180059777,15.298048180059777,9.073325127483734,9.073325127483734
643c9e897bb07cf12acebda9,2014-12-24,16.44,16.96,17.08,16.32,107651.0,87230614.0,4.65,3.6674816625916975,0.6,2.72,600822.0,86039403.0,0.4889975550122383,0.4889975550122383,0.7540769831461962,0.7753245379395827,0.7685596664968422,0.7601508969127733,0.8804522463552504,0.9421203438395428,1.070041388092967,0.9209605406057664,0.9916678848121604,1.0767756500836465,0.9040757513379996,0.9644268774703544,1.0667545015371085,0.9025439351112216,0.9738922870356528,1.0790524972234607,25.28,16.18,54.0,4.0,0.9433962264151052,1.0613207547169878,-1.8867924528301885,-4.245283018867941,-1.4150943396226578,0.0,2.004716981132071,0.9433962264151052
643c9dd07bb07cf12ac9bb52,2014-12-24,56.87,63.96,63.96,56.39,222662.0,104679245.0,13.31,12.467030068577456,7.09,4.22,509.0,58190592.0,0.0,1.1381824648764027,0.7562001362667318,0.8504506009294426,0.8305575320105206,0.7693658180161669,0.8871767316092362,0.942570647219691,1.0624384225113486,0.9977813215003808,1.0693416927899702,1.071719493788461,0.9724962832815234,1.0238104766097091,1.052765439015391,0.9128041871256674,0.9922139620815555,1.0869954104898905,132.24,61.38,59.0,6.0,12.08567854909317,9.81863664790492,5.284552845528467,2.51719824890555,2.51719824890555,-3.017510944340207,-3.017510944340207,3.7836147592245073
643c9f617bb07cf12ad5f004,2014-12-24,66.42,66.98,67.7,65.54,99395.0,93795736.0,3.28,1.824262693827916,1.2,3.26,600080.0,89698192.0,0.9729401033748974,-5.451957295373666,0.7661673803867429,0.770338025304135,0.7631388214513959,0.7711952917288234,0.8311850832186208,0.8940938919737508,1.075685680632677,0.8589871469691355,0.9488260084286562,1.104586968241038,0.8365139075757159,0.9037813303073792,1.0804139920717035,0.8492326297906643,0.9406867845993756,1.107690344907325,91.42,65.46,56.0,3.0,1.7766497461928932,2.0155270229919253,-1.4332636607942817,-1.0749477455957002,-0.5971931919976248,1.5527022991937756,7.98745894296804,6.19587936697521
643c9e977bb07cf12acf3b98,2014-12-24,47.36,47.08,47.88,46.69,118411.0,238604514.0,2.54,0.426621160409546,0.2,4.88,600699.0,253138485.0,1.0238907849829282,-4.554615074566703,0.7911575726951688,0.7878974804397644,0.7854916406914146,0.7960806749118948,0.8672933707728,0.9011940440511867,1.0390878962307526,0.8846483078272126,0.938643273687882,1.0610355159026832,0.8614265152726697,0.8973013493253387,1.041645843744795,0.8926394052044607,0.945237372203664,1.058924092631958,91.38,45.79,57.0,4.0,4.757858963466455,3.440951571792694,-2.2090059473237056,-3.377230246389118,-3.377230246389118,1.274426508071369,5.4375531011044975,7.0305862361937255
643c9f617bb07cf12ad5f005,2014-12-25,67.14,68.17,68.57,66.98,70201.0,67355772.0,2.37,1.7766497461928932,1.19,2.3,600080.0,93795736.0,0.2388772767990321,1.084010840108407,0.7744313740443457,0.7842329490084147,0.7731359222034407,0.788059765349244,0.8632039084597581,0.9497471443222408,1.1002581603423278,0.8975510562350048,1.0049384536006472,1.119644889969942,0.8705704773727568,0.9570132588974182,1.0992944095526096,0.891785138393715,1.0012332299413278,1.1227292167536576,91.42,65.46,55.0,2.0,0.234707349273866,-3.153880005867693,-2.801818981956872,-2.3324042834091285,-0.2200381399442674,6.102391081120717,4.342085961566666,4.1073786122928
