,_id_rank,日期_rank,成交额_rank,振幅_rank,涨跌幅_rank,涨跌额_rank,换手率_rank,真实价格_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日涨跌幅_rank,昨日成交额_rank,昨日资金贡献_rank,delta昨日资金贡献_rank,up昨日资金贡献_rank,down昨日资金贡献_rank,昨日资金波动_rank,delta昨日资金波动_rank,up昨日资金波动_rank,down昨日资金波动_rank,delta开盘_rank,up开盘_rank,down开盘_rank,SMA10开盘比值_rank,ma_up4周期开盘_rank,ma_down4周期开盘_rank,ma_up4周期昨日资金贡献_rank,ma_down4周期昨日资金贡献_rank,ma_up4周期昨日资金波动_rank,ma_down4周期昨日资金波动_rank,SMA15开盘比值_rank,ma_up6周期开盘_rank,ma_down6周期开盘_rank,ma_up6周期昨日资金贡献_rank,ma_down6周期昨日资金贡献_rank,ma_up6周期昨日资金波动_rank,ma_down6周期昨日资金波动_rank,SMA20开盘比值_rank,ma_up8周期开盘_rank,ma_down8周期开盘_rank,ma_up8周期昨日资金贡献_rank,ma_down8周期昨日资金贡献_rank,ma_up8周期昨日资金波动_rank,ma_down8周期昨日资金波动_rank,SMA25开盘比值_rank,ma_up10周期开盘_rank,ma_down10周期开盘_rank,ma_up10周期昨日资金贡献_rank,ma_down10周期昨日资金贡献_rank,ma_up10周期昨日资金波动_rank,ma_down10周期昨日资金波动_rank,SMA30开盘比值_rank,ma_up12周期开盘_rank,ma_down12周期开盘_rank,ma_up12周期昨日资金贡献_rank,ma_down12周期昨日资金贡献_rank,ma_up12周期昨日资金波动_rank,ma_down12周期昨日资金波动_rank
"(0.0, 0.041666666666666664)",0.014800065,,-0.02119786,-0.020832383,-0.009791635,-0.012493062,-0.032975043,-0.00830563,,-0.004083014,-0.019696638,-0.014126244,-0.020239578,0.009436664,0.009612853,0.009664588,0.011783066,0.017097189,0.013754689,0.013754689,0.011199461,-0.01209452,-0.01209452,-0.00749779,-0.015567689,-0.011573282,-0.007470948,0.014653415,0.014369956,0.01608727,0.014393335,-0.015930717,-0.010294722,-0.00740113,0.015122227,0.015229196,0.016398583,0.01465651,-0.016088326,-0.009692814,-0.007828258,0.015187865,0.015055284,0.016837824,0.015309237,-0.016998984,-0.010371081,-0.007326702,0.016078623,0.015291305,0.017028851,0.015825575,-0.018123869,-0.010321385,-0.007618915,0.015872614,0.015973774,0.01640916,0.016217788
"(0.041666666666666664, 0.08333333333333333)",0.009138989,,-0.014884932,-0.009597107,-0.006647416,-0.00635291,-0.012586528,-0.003612069,,0.002038346,-0.009030469,-0.004847544,-0.014462409,0.006767936,0.006578108,0.006366762,0.008516624,0.014896033,0.009230168,0.009237849,0.009309349,-0.006119958,-0.006316903,-0.00425392,-0.00518252,-0.009453268,-0.007168632,0.012495554,0.015433618,0.012617819,0.011204114,-0.006472413,-0.008887948,-0.007844504,0.012829416,0.014025426,0.013489297,0.012555867,-0.006295918,-0.008574143,-0.008206627,0.013467397,0.01509641,0.013419103,0.012882184,-0.006346512,-0.007467245,-0.008771902,0.013444936,0.014983405,0.013914562,0.0128969,-0.006675077,-0.007419743,-0.007985384,0.013999194,0.013990568,0.014901517,0.012728504
"(0.08333333333333333, 0.125)",0.005106167,,-0.012294315,-0.005683655,-0.00187747,-0.003909734,-0.007444905,-0.004139594,,0.003282492,-0.005077774,-0.000980682,-0.011408116,0.005940613,0.00590968,0.005229514,0.004888403,0.013930379,0.006495366,0.006702427,0.006661429,-0.002036846,-0.002572249,-0.00147207,-0.00108476,-0.006156154,-0.004207161,0.01069395,0.011771248,0.01236364,0.010483845,-0.000306892,-0.006389979,-0.004579637,0.012816026,0.013053416,0.012099429,0.010340141,-0.000227593,-0.005915743,-0.004626001,0.013189653,0.012138649,0.012212361,0.010921914,-0.001611469,-0.005713484,-0.004301589,0.012858676,0.012785111,0.012327774,0.011321095,-0.003044015,-0.005679267,-0.005556553,0.012804095,0.013376766,0.012753803,0.012461657
"(0.125, 0.16666666666666666)",-0.001084246,,-0.008488024,-0.002949896,0.001803945,0.000139991,-0.000802456,-0.002306924,,0.004607817,-0.00252775,0.002588435,-0.007758992,0.003501114,0.002690215,0.002402373,0.00498067,0.012510285,0.005344029,0.005453196,0.004494286,-0.000347058,-0.001221327,0.000721823,0.002117302,-0.003084901,-0.002079326,0.01097923,0.010974178,0.010337757,0.00993554,0.001886327,-0.003302921,-0.002082131,0.011480285,0.011474285,0.010361763,0.011455255,0.00083235,-0.003173019,-0.001782322,0.011135373,0.011594487,0.011679874,0.011042862,0.001304724,-0.00340358,-0.002335492,0.011872975,0.011123931,0.010654408,0.011313514,0.00140144,-0.003021614,-0.001259199,0.011961942,0.011631512,0.011597704,0.010612898
"(0.16666666666666666, 0.20833333333333331)",0.004254267,,-0.006197268,-0.000799374,0.003294413,0.001839201,-0.002093355,-0.001877674,,0.006392062,-0.000925822,0.003599563,-0.005978604,0.003040096,0.001861869,0.00257901,0.003443793,0.010730645,0.004647681,0.004725489,0.001806826,0.001931212,0.001429266,0.00387246,0.00227636,-0.000748117,-0.000607426,0.010363388,0.009175237,0.008662791,0.009339943,0.003141886,-0.000292097,-0.001335946,0.010431903,0.009527388,0.010755805,0.009222523,0.004077926,-0.001503176,3.82E-05,0.009942915,0.010541204,0.009906817,0.009654725,0.004207901,-0.000572972,0.001196509,0.009996926,0.010690597,0.011954869,0.009628596,0.002586668,-0.001258029,0.001259622,0.010304944,0.01047746,0.009603098,0.009350917
"(0.20833333333333331, 0.25)",-0.001653725,,-0.004753164,0.001459781,0.003971287,0.003435789,0.000837969,0.001180088,,0.005394244,0.001562648,0.004750234,-0.004650858,0.00104211,0.001378968,0.001817487,0.003106034,0.008427546,0.002089081,0.002054879,0.000796527,0.004446455,0.003570966,0.003699165,0.00466132,0.000572013,-0.001194161,0.007563298,0.007950441,0.007801968,0.007633501,0.004896455,0.001641971,0.001029376,0.0079398,0.009291765,0.007858983,0.00849428,0.003963568,0.000792982,6.13E-05,0.008128802,0.008775703,0.009297605,0.009239801,0.005469015,1.28E-05,0.000159844,0.009249849,0.009589359,0.009163548,0.009686135,0.004758801,0.000507145,0.000644286,0.008742845,0.009735231,0.010209662,0.009577744
"(0.25, 0.29166666666666663)",-0.000425991,,-0.002595862,0.001379331,0.004956426,0.005915641,0.004423152,-0.000616796,,0.005204879,0.001571541,0.005240342,-0.002531282,0.000196924,0.000973695,0.002117046,0.002156042,0.007177443,0.000501869,0.000577969,0.000290216,0.004825725,0.004457975,0.004021542,0.005632312,0.00165497,0.001282225,0.007313137,0.007273863,0.006100784,0.00683735,0.006082984,0.000826886,0.000246673,0.007200787,0.007169279,0.007264915,0.00717707,0.00640513,0.002460499,0.000279521,0.008372073,0.007311935,0.007073404,0.006676562,0.004814614,0.001371574,0.001331057,0.007508349,0.008431016,0.006504392,0.007841666,0.004796578,0.001848151,0.001095998,0.008202242,0.00875384,0.008131144,0.008334655
"(0.29166666666666663, 0.3333333333333333)",0.000996693,,-0.000698445,0.003212573,0.005164927,0.006087994,0.003755812,0.000574263,,0.003527052,0.003202435,0.005321571,-0.000694145,-0.000301534,-0.001035948,-0.000800071,0.001368286,0.006223483,-0.000995024,-0.000418894,-0.001141368,0.005815591,0.005378546,0.005510185,0.00722598,0.002463611,0.001818931,0.005334802,0.005202943,0.006096991,0.006256862,0.006900822,0.001890007,0.001478619,0.006353354,0.006418034,0.00622581,0.007550012,0.00740484,0.001902971,0.002324977,0.005950945,0.00643721,0.00566463,0.006180043,0.006137657,0.003688181,0.00176292,0.008073809,0.00636838,0.006599013,0.005253181,0.005536504,0.002049502,0.002782618,0.007684933,0.006451617,0.005029149,0.006295979
"(0.3333333333333333, 0.375)",0.000940745,,0.000387456,0.003036758,0.006623596,0.006907074,0.006464279,0.004999777,,0.005399768,0.003325908,0.006589284,0.000571186,-0.001122097,-0.000998137,-8.68E-05,0.001448794,0.005518912,-0.001766205,-0.001371475,-0.002125613,0.006416588,0.006170835,0.006877391,0.007794109,0.002624732,0.002807008,0.003968007,0.00642264,0.005634702,0.004055474,0.007239109,0.003239065,0.001967219,0.006070912,0.004594681,0.004764401,0.004703199,0.007924365,0.00351844,0.002668715,0.00606356,0.005021591,0.00480089,0.006837996,0.007401327,0.003081277,0.003089037,0.005178976,0.005079733,0.005166368,0.005905972,0.005222309,0.003947253,0.002891095,0.005142615,0.004286651,0.006721834,0.005297495
"(0.375, 0.41666666666666663)",-0.005523037,,0.002360006,0.004337864,0.006100295,0.008158471,0.005684752,0.004115688,,0.003335526,0.003587562,0.005927904,0.002036501,-0.000628888,-0.003118044,-0.001805424,0.000755948,0.004284008,-0.001495451,-0.001920303,-0.002867131,0.006280099,0.005203291,0.008725106,0.007631478,0.003953027,0.003432109,0.003603205,0.004125098,0.00424447,0.003342685,0.008378399,0.003884166,0.002638021,0.003052494,0.004048825,0.005405684,0.004412075,0.008251064,0.003603293,0.003077987,0.003973834,0.004813116,0.005301195,0.005806573,0.007914811,0.00404614,0.003603561,0.004525853,0.003969155,0.005055675,0.006348595,0.006322869,0.004426728,0.003873341,0.004477757,0.004425139,0.003550515,0.005709276
