,_id_rank,代码_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,SMA2开盘比值_rank,SMA20开盘比值_rank,SMA3开盘比值_rank,SMA30开盘比值_rank,SMA4开盘比值_rank,SMA40开盘比值_rank,SMA5开盘比值_rank,SMA50开盘比值_rank,SMA6开盘比值_rank,SMA60开盘比值_rank,SMA7开盘比值_rank,SMA70开盘比值_rank,SMA8开盘比值_rank,SMA80开盘比值_rank,SMA9开盘比值_rank,SMA90开盘比值_rank
"(0.2, 0.22)",0.001307917,0.000593304,-5.65E-05,-0.000839936,-0.000184301,-0.000190602,0.001988894,-0.000142569,-0.000345244,0.001717053,0.000117671,0.000910049,0.002604671,0.001083706,-0.000565973,0.003282192,0.00306105,0.00248103,0.002807082,0.002560597,0.000499674,9.67E-05,0.000458337,0.000751022,6.89E-05,0.001709087,0.000653154,0.001078751,0.002213027,3.68E-05,0.001580258,-0.00040444,0.001298348,-0.000319097
"(0.22, 0.24)",0.000358676,0.002583747,-0.001204483,-0.000583953,-0.001334141,-0.001579496,0.000173063,0.001404371,0.00167544,0.000582324,0.001154256,0.002740048,0.001807017,0.000534206,0.001054158,0.001262596,0.00231021,0.001039047,0.000945167,0.00237558,0.000675408,0.001164512,0.000576833,0.002038558,0.001575291,0.002590854,0.000684914,0.000437109,0.001722614,0.000172713,0.002255802,-0.000212013,0.002845855,0.001851009
"(0.24, 0.26)",0.006748464,0.001201693,-0.000818727,-0.000765569,-0.000401182,-5.45E-06,-0.000764382,-0.000462616,-0.000155383,-0.000721757,-0.001277476,-0.000766585,0.001004804,4.91E-06,-0.001256997,0.000146727,0.001377019,0.001207008,0.000601002,0.002623693,0.001544525,0.002813507,0.001159891,0.00065802,-0.000266193,0.001452305,-0.000228878,0.001716295,0.000667233,0.001367585,0.002182448,0.000976128,0.00226929,-0.000592254
"(0.26, 0.28)",0.000386607,-0.000854093,0.006995629,0.006214193,0.00700352,0.006397513,-0.000727678,0.000332001,-0.001466902,-0.000401281,0.000394518,0.000994232,0.002239947,0.001098605,0.000691105,0.002041534,0.00222663,0.004210413,0.002112324,0.002152275,0.00175817,0.002438845,0.001858912,0.002889925,0.002808407,0.001398344,0.00267973,0.004285101,0.001004657,0.001400329,0.002417258,0.000279227,0.002915888,-0.000551596
"(0.28, 0.3)",0.001585797,0.005751854,-0.004681947,-0.003420524,-0.005586639,-0.004711232,-0.001482538,-0.000524661,0.000358211,-0.002022479,-0.000547889,0.005885382,0.000496709,0.000363445,-0.000554912,0.00048663,0.002460795,0.001471159,0.001113806,0.003401844,0.002839708,0.000444187,0.002277979,0.001922354,0.003001617,0.004002244,0.003341758,0.002815471,0.003330007,0.005303337,0.002111445,0.001692506,0.002196974,0.003534307
"(0.3, 0.32)",-0.000584093,-0.001114328,-0.003586769,-0.004468869,-0.003919136,-0.00369058,0.000320531,-0.002406565,-0.000114232,0.000588714,-0.001574171,0.004662003,0.00151106,-0.000424019,-0.001432657,0.00153857,0.000702124,0.000685786,0.001658143,0.002059324,0.001345604,0.000886758,0.001512928,0.001025846,0.002294492,0.003323377,0.001332276,0.002533954,0.000922085,0.002311926,0.000915591,0.001636214,0.002274813,0.000248014
"(0.32, 0.34)",-0.002088902,0.001534455,9.78E-05,-0.000375154,0.000453382,-4.92E-05,-0.000814577,-0.002458571,-0.001850044,-0.002081883,-0.00300471,0.002792361,-0.001039588,0.000808232,-0.001365974,0.000138168,-0.000455416,0.000883692,8.79E-05,0.000913408,0.000984313,-0.000605805,0.000977368,-0.000296825,0.001825844,0.000193485,0.001585822,0.002415205,-5.16E-05,0.000494303,0.000152162,0.002959653,0.001163479,9.88E-05
"(0.34, 0.36)",0.000253957,0.000353364,0.001099159,0.00163243,0.001967166,0.001341083,0.00097585,-3.17E-05,8.35E-05,0.001741718,-0.000245021,0.003101625,-0.000331477,0.000339025,0.000365299,0.000423321,0.001223661,0.001306885,0.000708511,0.003314346,0.001226296,0.003013952,0.002220277,0.001318868,0.002320648,-0.000618737,0.001578554,0.00022765,0.002933546,0.000988821,0.003555577,0.00276583,0.003069501,0.001480208
"(0.36, 0.38)",0.00366933,0.005740232,0.002494732,0.002753995,0.002188731,0.003011969,0.001568743,-0.00103184,-0.000369941,0.001232238,-0.000417173,0.005048402,0.002697599,0.000311072,-0.000237166,0.001979053,0.003055577,0.00140304,0.001292062,0.003360248,0.00211435,0.002781473,0.003760502,0.001304355,0.002263862,-0.000428524,0.002788686,0.001567849,0.002747169,0.001016534,0.001912119,6.97E-05,0.00354055,0.002782557
"(0.38, 0.4)",0.004440183,-0.001376647,0.003048429,0.001900154,0.003507675,0.002577383,0.00058522,-0.001154361,-0.000312826,0.000442565,-0.001733394,0.000847851,0.000504963,0.001522086,-0.001427595,0.000652155,5.43E-06,0.001779061,0.001497849,0.003696085,0.001356747,0.00183449,0.002479619,0.002636896,0.003102398,0.000428334,0.001400903,-0.000270123,0.002244653,0.001204752,0.002556669,0.000579335,0.002718902,0.001939088
"(0.4, 0.42)",0.001867947,-0.000947337,0.00044944,0.001548866,0.000239823,0.000828427,0.00183249,-8.15E-05,-0.000627263,0.001503302,-0.000989309,-0.000504961,0.002981341,-0.000487668,-0.000492234,0.002114028,-0.000592838,-0.000713784,0.001496745,0.002148801,0.002067926,-0.00034057,0.0023142,0.001977552,0.00267287,0.001308975,0.002547242,0.001313103,0.002058881,0.000876771,0.001832941,0.001775846,0.002577904,0.001611365
"(0.42, 0.44)",0.00255132,0.003007687,0.000442906,3.46E-05,0.000311363,0.000131774,0.001527399,-0.000461891,-0.001711765,0.00182161,4.54E-05,0.002071632,0.003151964,0.000221764,-0.001357123,0.002887921,0.000310228,0.001027735,0.003132146,0.000874265,0.002371486,0.001815182,0.002086072,0.001256644,0.003124365,0.002475919,0.001323291,0.0026116,0.002042573,0.00215834,0.003239364,0.002066107,0.001811489,0.002283852
"(0.44, 0.46)",0.001744648,-0.001799621,-0.000744492,-0.000777746,-0.001293536,-0.000639709,0.000756528,0.000521196,5.98E-05,0.001008829,0.000657797,-0.001671361,0.003738481,0.003824639,-0.00059682,0.003230203,0.002041487,0.000981258,0.002274163,0.002280006,0.002760991,0.002232223,0.002495672,0.001762353,0.003057227,0.000487206,0.004876579,0.002215592,0.003381893,0.00168797,0.004000029,0.001571057,0.002820322,0.001942075
"(0.46, 0.48)",-0.000341564,-0.000916412,0.001403725,0.001692445,0.002469432,0.001414118,0.000696778,0.000248927,0.002016349,0.001567658,0.000261166,-0.01371901,0.001799658,0.001004788,0.000173219,0.001226569,0.001305416,0.0007914,0.002371717,0.003628449,0.002020573,0.001920976,0.00397023,0.001355057,0.002763163,0.002547573,0.003368731,0.0039854,0.004473473,0.004018836,0.002994579,0.001457236,0.003948345,0.002751042
"(0.48, 0.5)",-0.00117288,0.003850501,0.003928871,0.003623799,0.00296196,0.003654282,-0.000568008,-0.001122362,0.002280116,-0.000548148,0.00015235,-0.0132706,0.001120668,0.000100667,-0.001223337,0.001233669,-0.000846104,-0.001951018,0.001968109,0.001008996,0.001768612,0.001026143,0.001592107,0.000574707,0.000939716,0.001262461,0.001945724,0.002221166,0.001465944,0.001915755,0.002827575,0.001666454,0.002271335,0.002882302
