,_id_rank,时间_rank,成交额_rank,最新价_rank,日期_rank,timestamp_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日涨跌幅_rank,昨日成交额_rank,昨日资金贡献_rank,delta昨日资金贡献_rank,up昨日资金贡献_rank,down昨日资金贡献_rank,昨日资金波动_rank,delta昨日资金波动_rank,up昨日资金波动_rank,down昨日资金波动_rank,delta开盘_rank,up开盘_rank,down开盘_rank,SMA10开盘比值_rank,ma_up4周期开盘_rank,ma_down4周期开盘_rank,ma_up4周期昨日资金贡献_rank,ma_down4周期昨日资金贡献_rank,ma_up4周期昨日资金波动_rank,ma_down4周期昨日资金波动_rank,SMA15开盘比值_rank,ma_up6周期开盘_rank,ma_down6周期开盘_rank,ma_up6周期昨日资金贡献_rank,ma_down6周期昨日资金贡献_rank,ma_up6周期昨日资金波动_rank,ma_down6周期昨日资金波动_rank,SMA20开盘比值_rank,ma_up8周期开盘_rank,ma_down8周期开盘_rank,ma_up8周期昨日资金贡献_rank,ma_down8周期昨日资金贡献_rank,ma_up8周期昨日资金波动_rank,ma_down8周期昨日资金波动_rank,SMA25开盘比值_rank,ma_up10周期开盘_rank,ma_down10周期开盘_rank,ma_up10周期昨日资金贡献_rank,ma_down10周期昨日资金贡献_rank,ma_up10周期昨日资金波动_rank,ma_down10周期昨日资金波动_rank,SMA30开盘比值_rank,ma_up12周期开盘_rank,ma_down12周期开盘_rank,ma_up12周期昨日资金贡献_rank,ma_down12周期昨日资金贡献_rank,ma_up12周期昨日资金波动_rank,ma_down12周期昨日资金波动_rank
"(0.41666666666666663, 0.4583333333333333)",5.25E-05,,-1.33E-05,-0.000124207,,,-5.27E-05,-3.85E-05,-5.71E-05,-4.79E-05,-2.37E-05,-5.08E-05,-0.000133169,-0.000116413,-0.000109082,-0.000185949,-7.94E-05,-7.60E-05,-0.000170504,-0.000100809,-0.000164515,-8.70E-06,-0.000110731,9.08E-05,-5.72E-05,-0.000117779,-0.000144047,-0.000138049,-0.000126888,-7.80E-05,1.39E-05,-1.50E-05,-7.15E-05,-0.000133479,-6.72E-05,1.76E-06,-0.000106545,6.97E-05,6.31E-06,-0.000150281,-0.000106863,-9.11E-05,-2.70E-05,-6.89E-05,0.000124045,-2.30E-05,-0.000107292,-0.000121279,-8.65E-05,-1.50E-05,-0.000107992,6.95E-05,-1.53E-05,-7.81E-05,-0.000143128,-4.61E-05,-0.00011975
"(0.4583333333333333, 0.5)",-0.000220354,,-0.000181091,-4.62E-05,,,-1.88E-05,-8.24E-05,-3.24E-05,-8.85E-05,-0.000193433,-0.000121534,-6.82E-05,-0.000100483,-0.000124345,-0.000163513,-0.000103684,-0.000149009,-0.000193475,-3.28E-05,-8.85E-05,2.11E-05,-5.61E-05,5.54E-05,-2.25E-05,-0.000120945,-0.000140425,-0.00013706,-0.000133381,-6.27E-05,-4.23E-05,-3.41E-05,-0.000167982,-8.46E-05,-0.000144337,-9.36E-05,-9.14E-05,-3.55E-05,-4.20E-05,-0.00017629,-0.000132189,-0.000117245,-4.58E-05,-8.85E-05,4.29E-05,9.04E-06,-0.000171879,-0.000149877,-5.75E-05,-5.80E-05,-9.14E-05,0.00012178,3.79E-05,-0.000165899,-0.000167404,-0.000117222,-8.88E-05
"(0.5, 0.5416666666666666)",-9.96E-05,,-3.80E-05,0.000144741,,,-4.97E-05,-8.13E-05,-8.17E-05,-6.06E-05,-3.92E-05,-0.000165305,-7.98E-05,-0.000127239,-3.53E-05,-0.000126778,-6.85E-05,-3.29E-05,-0.000108434,3.71E-05,4.97E-06,3.81E-05,-2.33E-05,-9.67E-06,-3.29E-05,-0.000130645,-0.000190264,-0.000158495,-0.000161338,-4.76E-05,-5.97E-05,-7.34E-05,-0.00016468,-0.000104562,-0.000149173,-0.000151165,-0.000133583,-3.45E-05,-1.80E-05,-0.000142893,-0.000124438,-0.000118644,-0.000141183,-0.0001045,5.21E-06,4.43E-07,-0.000166528,-9.90E-05,-0.000100944,-0.000157129,-0.000127244,8.33E-05,1.08E-06,-0.000179377,-7.96E-05,-0.000119676,-4.00E-05
"(0.5416666666666666, 0.5833333333333333)",3.03E-05,,2.32E-05,0.0002377,,,-0.000119257,-3.29E-05,-8.65E-05,-1.00E-05,3.11E-05,-0.000150524,-0.000132104,-0.000187662,3.05E-05,-0.000103492,-7.25E-05,1.64E-05,-3.30E-05,2.58E-05,-5.54E-06,4.26E-05,-4.74E-05,1.75E-05,1.58E-05,-0.000134494,-0.000194627,-0.000170044,-0.000191532,-3.66E-05,-2.83E-05,-8.61E-05,-0.000155006,-0.000116002,-0.000139221,-0.000189605,-0.000155259,1.17E-06,4.55E-06,-0.000141306,-0.000104909,-8.96E-05,-0.00019416,-0.00012477,3.55E-05,-8.69E-07,-0.000172455,-4.12E-05,-0.000152664,-0.00019997,-0.000168557,7.71E-05,-8.67E-05,-0.000162653,-1.65E-05,-5.02E-05,-4.26E-05
"(0.5833333333333333, 0.625)",9.24E-05,,6.15E-05,-2.46E-07,,,-9.54E-05,-2.60E-05,-0.000114471,-1.64E-06,7.18E-05,-0.000100327,-0.000111039,-0.000121657,-0.000161988,-0.000128676,-0.000100549,-2.31E-06,-9.43E-05,-3.30E-05,-5.52E-05,1.19E-05,-3.52E-05,-3.49E-05,4.20E-05,-0.000155183,-0.0001421,-0.00012288,-8.73E-05,-0.000110157,-1.45E-05,6.77E-05,-0.000123671,-0.000224039,-0.000155009,-0.000144506,-5.19E-05,-5.55E-05,3.63E-06,-0.00013281,-0.000178417,-0.000121614,-0.000134299,-6.44E-05,-0.000121129,-3.13E-05,-0.000136982,-0.000169883,-0.000172816,-0.00012447,7.90E-06,-7.36E-05,1.65E-05,-0.000160375,-0.000180142,-0.000122864,-0.000163663
"(0.625, 0.6666666666666666)",3.87E-05,,4.73E-06,-7.14E-05,,,-6.46E-05,-2.78E-05,-0.000145669,-2.44E-05,-1.66E-05,-6.80E-05,-5.31E-05,-3.54E-05,-0.000115071,-0.000141893,-4.18E-05,7.07E-05,-4.20E-05,-1.62E-05,-3.67E-06,4.86E-05,-4.48E-05,-4.26E-05,1.97E-05,-0.000155451,-0.000143449,-9.91E-05,-0.000131988,-6.96E-06,-2.64E-06,0.000123515,-0.000205998,-0.000268906,-0.000165885,-0.000168051,-6.36E-05,-7.63E-05,3.29E-05,-0.000179271,-0.000191487,-0.000140375,-0.000139958,-5.79E-05,-7.61E-05,2.43E-05,-0.000147582,-0.000182342,-0.000147279,-0.000183967,-4.38E-05,-0.000109252,5.94E-05,-0.000197547,-0.000138057,-0.000110431,-0.000171749
"(0.6666666666666666, 0.7083333333333333)",-4.15E-05,,7.33E-05,-0.000339457,,,-1.34E-06,-5.31E-05,-0.000133744,-6.68E-05,3.46E-05,-4.25E-05,-1.35E-05,3.47E-05,-1.99E-05,-0.00015469,-3.75E-05,9.63E-05,1.16E-05,-4.85E-05,5.18E-05,0.000124134,-7.56E-05,-6.35E-05,6.50E-05,-0.000169657,-0.000153286,-0.000125,-0.000118364,-1.11E-05,2.17E-05,0.000120931,-0.000275001,-0.00023394,-0.000111669,-0.000148933,-9.88E-05,-5.74E-05,7.34E-05,-0.000200674,-0.000179801,-0.000153971,-0.000190534,-3.89E-05,-7.04E-06,9.23E-05,-0.00014992,-0.000178421,-0.000152476,-0.000208383,-5.53E-05,-9.00E-05,6.66E-05,-0.000148193,-0.000139916,-0.000169268,-0.000178289
"(0.7083333333333333, 0.75)",0.000701936,,-0.000126732,3.23E-05,,,-3.45E-05,-7.83E-05,-9.83E-05,-7.95E-05,-0.000120582,-4.68E-05,-0.000105669,-3.23E-05,8.59E-05,-0.000183063,-5.03E-05,8.55E-05,0.00012127,-5.14E-05,3.76E-05,0.000119516,-3.83E-05,-1.50E-05,-6.15E-05,-0.00013276,-0.000165361,-0.00011261,-0.000130702,-2.31E-05,-1.31E-05,4.72E-05,-0.000139702,-0.00018272,-9.28E-05,-0.00020028,-1.39E-05,0.000100923,4.28E-05,-0.000251431,-0.000218855,-0.000174306,-0.000218099,-4.58E-06,2.31E-05,5.00E-06,-0.000262928,-0.000248417,-0.000179996,-0.000201289,-4.20E-05,-7.50E-05,1.77E-05,-0.000241657,-0.000259901,-0.0002119,-0.000211045
"(0.75, 0.7916666666666666)",0.000768235,,0.0001674,0.000340466,,,-3.58E-05,-4.01E-05,-8.64E-05,-4.98E-05,0.00018598,-8.91E-05,-6.25E-05,-8.03E-05,9.09E-05,-0.000124779,-5.51E-05,1.52E-06,0.000174663,-7.95E-06,8.68E-05,0.000227553,4.72E-05,-5.30E-05,-3.94E-05,-8.25E-05,-8.08E-05,-0.000110259,-0.000113164,-4.13E-05,1.59E-05,-2.23E-05,-9.60E-05,-0.000106237,-6.13E-05,-0.000146012,3.11E-05,4.55E-05,6.01E-06,-0.00014573,-0.000132965,-0.000137802,-0.000176943,5.74E-05,6.09E-05,1.99E-06,-0.000169342,-0.000157826,-0.000134433,-0.000188976,1.14E-05,5.23E-05,-1.55E-05,-0.000165771,-0.000158131,-0.00015968,-0.000199862
"(0.7916666666666666, 0.8333333333333333)",0.00096586,,0.000507862,0.00086182,,,-3.22E-05,9.84E-06,-9.50E-05,1.17E-05,0.000532305,-4.90E-05,-4.73E-05,-5.80E-05,7.61E-05,-7.87E-05,-8.31E-05,3.77E-05,5.07E-05,2.74E-05,0.00013869,0.00024639,8.29E-05,-0.000149117,-9.24E-06,-6.56E-05,-2.00E-06,-0.000129077,-5.54E-05,-3.85E-05,1.33E-05,-6.53E-05,-8.62E-05,-2.75E-05,-0.000119494,-9.62E-05,8.75E-05,-5.99E-05,-6.04E-06,-4.48E-05,-7.22E-05,-0.000126707,-0.000137908,9.99E-05,4.54E-05,2.64E-05,-9.94E-05,-8.92E-05,-0.000142618,-0.000192018,5.06E-05,0.000102025,-9.88E-06,-8.87E-05,-7.72E-05,-0.000118422,-0.000216688
"(0.8333333333333333, 0.875)",0.000206318,,0.000482489,3.54E-05,,,-3.88E-05,6.32E-05,-7.41E-05,8.60E-05,0.000458527,4.30E-05,8.65E-05,0.000118482,0.000162249,-5.07E-05,7.29E-05,7.24E-05,5.73E-05,1.18E-05,9.35E-05,7.88E-05,6.66E-05,6.63E-06,-0.000108049,1.05E-05,1.25E-05,-2.49E-05,-1.38E-05,0.000113836,2.59E-07,-0.000111065,1.79E-05,4.34E-05,-5.33E-05,-1.31E-05,0.000145994,4.10E-06,-6.54E-05,5.90E-05,5.44E-05,-6.88E-06,7.83E-06,0.000131818,-4.79E-06,-7.28E-05,5.96E-05,4.80E-05,3.84E-05,-1.06E-07,0.000133717,3.19E-05,-5.09E-05,3.99E-05,1.39E-05,3.24E-05,-1.12E-05
"(0.875, 0.9166666666666666)",-0.000168228,,0.000544544,-0.00035122,,,4.07E-05,0.000109205,-0.000107654,0.000137452,0.000537778,0.000183685,0.000143733,7.07E-05,1.87E-05,-1.63E-05,0.0002127,0.000356717,0.000270837,3.62E-05,0.000276673,-4.58E-05,0.00013144,3.29E-06,-8.16E-05,-1.14E-05,-3.34E-05,-3.42E-05,-3.41E-05,0.000172176,-4.28E-05,-7.95E-05,-2.70E-05,-1.60E-05,-1.57E-05,-3.67E-05,0.000240988,-9.04E-05,-5.14E-05,-7.09E-06,2.39E-05,-1.27E-05,1.32E-05,0.000248147,-9.28E-05,-4.06E-05,2.26E-05,6.10E-05,1.87E-05,1.84E-05,0.000246685,-0.000111221,-3.41E-05,4.06E-06,2.28E-05,2.89E-05,1.97E-06
"(0.9166666666666666, 0.9583333333333333)",-0.000138367,,0.000588068,-0.000167155,,,0.000162267,0.00013008,-0.000104238,0.000172092,0.000637036,0.000288361,0.000187319,-3.01E-05,0.000126706,3.91E-05,0.000244053,0.0007309,0.000609328,2.67E-05,0.000318942,-1.51E-05,0.000180635,-6.07E-05,5.61E-05,-3.56E-05,-4.39E-05,-4.82E-05,-6.71E-05,0.00030207,-9.60E-05,-2.71E-05,-4.76E-05,-4.92E-05,-2.60E-05,-1.96E-05,0.000330551,-0.000172484,-4.03E-05,-4.33E-05,-1.77E-05,-6.64E-06,1.11E-05,0.000324571,-0.000179032,5.79E-05,-1.72E-05,4.78E-05,-6.16E-07,2.76E-05,0.000368601,-0.000216715,3.20E-05,-1.96E-05,5.42E-05,3.14E-06,-1.98E-06
"(0.9583333333333333, 1.0)",0.000210198,4.45E-05,4.98E-05,-6.08E-05,4.45E-05,4.45E-05,0.00029341,0.000267649,-1.45E-05,0.000308901,8.66E-05,0.000323726,0.000287929,4.61E-05,4.08E-05,9.72E-06,0.000290013,3.33E-05,5.35E-05,0.00030019,5.53E-05,3.27E-05,0.000375244,7.87E-05,4.04E-05,-7.76E-05,-4.28E-05,9.29E-06,-1.32E-05,0.000427376,-2.07E-05,-7.70E-05,-8.24E-05,-6.46E-05,-4.17E-05,-1.48E-05,0.000440288,-3.79E-05,-0.00013779,-0.000101128,-0.000100635,-4.97E-05,-3.27E-05,0.000405368,-5.76E-05,-0.000159254,-0.000109588,-0.000115399,-7.63E-05,-2.17E-05,0.000358163,-5.94E-05,-0.000154373,-0.000101769,-0.000126185,-7.98E-05,-6.04E-07
