,_id_rank,日期_rank,开盘_rank,收盘_rank,最高_rank,最低_rank,成交量_rank,成交额_rank,振幅_rank,涨跌幅_rank,涨跌额_rank,换手率_rank,真实价格_rank,代码_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日成交额_rank,delta开盘_rank,昨日涨跌_rank,delta昨日涨跌_rank,昨日开盘收盘_rank,delta昨日开盘收盘_rank,delta昨日振幅_rank,昨日资金贡献_rank,delta昨日资金贡献_rank,昨日资金波动_rank,delta昨日资金波动_rank,SMA2开盘比值_rank,SMA10开盘比值_rank,SMA2delta昨日资金波动_rank,SMA10delta昨日资金波动_rank,ma_delta4周期昨日振幅_rank,ma_delta4周期昨日开盘收盘_rank,ma_delta4周期昨日资金贡献_rank,ma_delta4周期昨日资金波动_rank,SMA3开盘比值_rank,SMA15开盘比值_rank,SMA3delta昨日资金波动_rank,SMA15delta昨日资金波动_rank,ma_delta6周期昨日振幅_rank,ma_delta6周期昨日开盘收盘_rank,ma_delta6周期昨日资金贡献_rank,ma_delta6周期昨日资金波动_rank,SMA4开盘比值_rank,SMA20开盘比值_rank,SMA4delta昨日资金波动_rank,SMA20delta昨日资金波动_rank,ma_delta8周期昨日振幅_rank,ma_delta8周期昨日开盘收盘_rank,ma_delta8周期昨日资金贡献_rank,ma_delta8周期昨日资金波动_rank,SMA5开盘比值_rank,SMA25开盘比值_rank,SMA5delta昨日资金波动_rank,SMA25delta昨日资金波动_rank,ma_delta10周期昨日振幅_rank,ma_delta10周期昨日开盘收盘_rank,ma_delta10周期昨日资金贡献_rank,ma_delta10周期昨日资金波动_rank
"(0.6, 0.62)",-0.002120229,,0.001789588,0.001311626,0.001738066,0.002180859,0.001819276,0.002772508,0.002156871,0.002341834,0.002294188,0.002868973,0.000715732,0.000992488,,0.000786794,0.002418838,0.002379276,0.002858894,0.001898926,0.003055543,-0.001044718,0.001404753,0.001045635,0.000426167,-0.003166443,-0.000373991,-0.001354381,0.001506519,0.002332366,-0.000878985,8.30E-05,0.001970423,0.002390539,-0.002937513,-0.001224513,0.003198141,0.003607396,-0.001308816,0.000273325,0.00218227,0.002381007,-0.001741174,-0.000849717,0.002890913,0.002435473,-0.001224513,-0.000897274,0.000895349,0.002402656,-0.001757613,-0.000747122,0.003020088,0.002917098,-0.000754914,-7.61E-05,0.002847274,0.00143661,-0.001843362,8.30E-05
"(0.62, 0.64)",0.000594562,,0.002246112,0.002478148,0.002462095,0.002216278,0.002431156,0.002917535,0.003255631,0.002457683,0.002458956,0.003287406,0.001047344,-5.51E-05,,0.00165563,0.003013673,0.002620769,0.002602289,0.002257161,0.001650166,-0.00026387,0.001594981,0.001404667,-3.21E-05,-0.002163457,-0.000645025,-0.002087174,0.002319813,0.003309202,-0.001579328,0.001131965,0.001890994,0.001332044,-0.002023444,-0.001254868,0.001906975,0.002244678,-0.001590648,0.000912728,0.002211212,0.002022551,-0.002134094,-0.000241219,0.001912394,0.002552948,-0.001254868,-0.000727851,0.001358854,0.00170035,-0.001900206,-8.65E-05,0.002176097,0.00200086,-0.001114356,-0.000820784,0.001545132,0.001589829,-0.000753156,0.001131965
"(0.64, 0.66)",-0.000944014,,0.002538838,0.001782022,0.001913609,0.002127766,0.00232968,0.002499812,0.002267828,0.002170748,0.001639164,0.002234853,0.002794302,0.00081333,,0.002595742,0.001427709,0.002351994,0.001620761,0.001727925,0.001410239,0.003175233,0.001305579,0.002207117,0.000117741,-0.001803516,-0.001507566,-0.000596517,0.001875881,0.002905722,-0.000792542,0.000500945,0.001482835,0.002427847,-0.001957401,-0.002091228,0.002224616,0.002767105,-0.000583462,0.001043688,0.001806205,0.00206036,-0.001453479,-0.000965242,0.002272859,0.003456649,-0.002091228,0.000127483,0.002152374,0.001509677,-0.000681883,-0.000630002,0.002011,0.003823526,-0.001404161,-3.77E-05,0.001668627,0.002623263,-0.000578522,0.000500945
"(0.66, 0.68)",-0.000748448,,0.00219977,0.002021647,0.002472095,0.001517488,0.00215478,0.002347126,0.002634914,0.002429234,0.003928384,0.002813458,0.000711322,-0.00049194,,0.002213499,0.00218841,0.001763073,0.003207769,0.002064498,0.001395213,0.002343675,0.002062247,0.002012906,-0.000420833,-0.001435188,-0.001064153,-0.000825758,0.00177072,0.003075537,-0.000264613,0.000331747,0.002091649,0.001773483,-0.002751393,-0.00145939,0.001728948,0.00177295,-0.000372251,0.000483796,0.002022747,0.001513789,-0.001447708,-0.000794115,0.001999552,0.002458554,-0.00145939,0.000870292,0.001836228,0.001911539,-0.001267613,0.00018707,0.001941596,0.002748152,-0.000736691,0.000785161,0.001866876,0.001880808,-0.000536995,0.000331747
"(0.68, 0.7000000000000001)",-0.001392277,,0.000883874,0.001570064,0.00137524,0.001434409,0.00218802,0.002780033,0.002435876,0.001240887,0.000852043,0.002237009,0.001445489,0.000687251,,0.001401339,0.002543115,0.002969533,0.001335456,0.001259635,0.001968826,0.001456979,0.001589796,0.001279751,-0.000984511,-0.001317336,-0.002540741,-0.000652534,0.001774362,0.002497679,-0.000194918,-0.00026191,0.001389577,0.001773824,-0.002455065,-0.000476123,0.002130547,0.002328034,-0.000644737,3.01E-05,0.000797258,0.001104325,-0.001500443,-0.000588307,0.000924191,0.002057946,-0.000476123,0.000641469,0.001735262,0.002415777,0.000134823,-0.000543468,0.002035643,0.002424157,-0.002129102,-9.95E-05,0.001932115,0.002846735,-0.000492549,-0.00026191
"(0.7000000000000001, 0.72)",-9.06E-06,,0.000820846,0.000293996,0.000539315,0.000842644,0.002806656,0.00336415,0.002651255,0.003490625,0.003446592,0.003168277,0.002192301,-0.001178561,,0.003913107,0.002447761,0.002885298,0.001997312,0.002131864,0.002237216,0.004013821,0.000122869,0.00197113,-0.000154837,-0.002120021,-0.002795481,-0.000901824,0.001470468,0.002999029,-0.000595355,-0.000911625,0.001131217,0.001792334,-0.001510266,-0.000158057,0.001754854,0.003045324,-0.000118334,0.001199015,0.002085513,0.002147682,-0.000816545,-0.001241431,0.002463404,0.002203677,-0.000158057,0.000229021,0.002534462,0.002788464,-0.000203861,0.000130825,0.003064152,0.001872847,-0.000848954,0.000107123,0.002461506,0.002513162,9.51E-05,-0.000911625
"(0.72, 0.74)",-0.001018248,,0.001670523,0.001885263,0.001462549,0.001423925,0.002175614,0.00395417,0.003274961,0.001789547,0.001512144,0.002343767,0.002035506,0.001084246,,0.001283198,0.002634683,0.00323984,0.000674716,0.002008515,0.002675835,0.002048537,0.001380076,0.001481226,-0.001284278,-0.001578592,-0.001532047,-0.000171226,0.001096077,0.00192573,-0.000408649,0.000599552,0.001153105,0.002108046,-0.00099122,-0.000439738,0.002612904,0.002535118,-0.001186878,0.001419852,0.001261055,0.002002953,-0.001392891,-0.00157057,0.002411283,0.001939079,-0.000439738,-7.83E-05,0.001732744,0.002757568,-0.000181823,-0.000646163,0.002224834,0.00175241,-1.54E-05,0.00038924,0.002490622,0.001927648,0.000978413,0.000599552
"(0.74, 0.76)",0.00061445,,0.003040637,0.003293478,0.002970943,0.003380914,0.002750851,0.003842804,0.002563716,0.002176664,0.002499256,0.002134424,0.002070244,0.000776587,,0.001223856,0.002990057,0.003648542,0.000773893,0.001591009,0.001557151,0.00075377,0.001422805,0.002666568,-0.001987203,-0.001193355,-0.002289778,-0.00058338,0.001279439,0.002431058,-0.001139894,0.000824246,0.00120935,0.001472067,-0.000509987,-0.000981845,0.001169233,0.001717941,-0.000830327,0.000841611,0.001603646,0.001765872,-0.00092315,0.000131997,0.000800732,0.002794291,-0.000981845,0.001159378,0.001340071,0.002316774,4.87E-05,0.00045709,0.000846963,0.00225785,-0.00076982,-0.000157223,0.001334355,0.001993347,1.06E-05,0.000824246
"(0.76, 0.78)",0.000294263,,0.00088741,0.000741978,0.001566218,0.000888847,0.002779494,0.004067746,0.001722729,0.001182435,0.000998642,0.003723285,0.002539445,0.00130653,,0.003266405,0.001276532,0.004438868,0.001652166,0.000926293,0.001969346,0.002818727,0.001308846,0.000874432,-0.002872668,-0.000221359,-0.003357922,0.000555157,0.001690675,0.002304791,0.000311626,0.000444842,0.001528981,0.001865998,-0.000337329,-0.00047885,0.001017207,0.001716484,-0.000917741,0.002148894,0.001518203,0.00176494,-0.00060078,-0.000828775,0.001962212,0.001203421,-0.00047885,0.001008676,0.003043656,0.001258926,9.54E-06,4.10E-05,0.001018433,0.002050013,-0.000703477,-0.000499715,0.001611831,0.002861254,0.000230072,0.000444842
"(0.78, 0.8)",-0.000165572,,0.002238152,0.003125412,0.002365448,0.002354561,0.003330976,0.004118966,0.001878106,0.002175962,0.001370457,0.002140948,0.001821565,-0.000823951,,0.000423916,0.001667817,0.003800278,0.001049708,0.002131641,0.001763616,0.000120598,0.002384024,0.000869432,-0.002545963,1.25E-05,-0.003675329,0.000485613,0.000538526,0.001977064,0.00010286,0.000671786,0.000832106,0.000805876,0.000637478,-0.000273949,0.001238976,0.001486132,-0.001497041,0.000580277,0.001686621,0.001603704,-0.000370917,0.000325608,0.001711146,0.001665098,-0.000273949,0.001166363,0.001855844,0.001880038,0.000293996,-0.000231204,0.001629027,0.002202565,-6.12E-05,0.000106292,0.001079795,0.001953514,0.000463396,0.000671786
"(0.8, 0.8200000000000001)",0.001023674,,0.004544241,0.003884803,0.004547248,0.004240813,0.002485039,0.004751654,0.001941744,0.00167219,0.001410685,0.002493269,0.003759377,-0.000168589,,0.001534958,0.002101321,0.004813731,0.001866448,0.001338757,0.001026737,0.000995476,0.00111443,0.001189511,-0.002424307,-0.000286021,-0.002836919,0.000621675,0.001232679,0.001318621,-0.000357795,0.000175144,0.001843781,0.001723812,0.000310819,0.000226146,0.00071162,0.001606129,-0.000402875,0.001154119,0.001308614,0.001566606,0.000408561,-0.000449699,0.000937456,0.001863682,0.000226146,0.000651181,0.001825914,0.001975312,0.000412972,-5.41E-05,0.001031726,0.002031916,0.000315276,0.001729682,0.0020892,0.00070664,0.000125945,0.000175144
"(0.8200000000000001, 0.84)",-0.000742767,,0.002362302,0.002770183,0.002709704,0.002584055,0.003635544,0.004875523,0.002736635,0.000678854,0.000181401,0.002521654,0.003185336,0.001131929,,0.000756668,0.002463167,0.004643751,0.001139178,-0.000123875,0.00111386,0.001344936,-0.000382444,0.000230236,-0.00396673,0.000464131,-0.00386289,0.001037084,0.001290393,0.001991358,0.001122972,0.000859285,0.001521962,0.001533811,0.00032965,-0.000311825,0.001746934,0.002604569,0.001184228,0.002152933,0.000712157,0.00024925,0.000613078,0.000421503,0.001331911,0.000901631,-0.000311825,0.001698601,-1.50E-05,0.001245313,0.001062846,0.001792862,0.000850243,0.00278188,0.000242858,0.00070107,0.001234465,0.001762761,0.001754016,0.000859285
"(0.84, 0.86)",0.000366122,,0.002732883,0.002623364,0.002791707,0.002163563,0.003115386,0.004928223,0.001631793,0.001219876,0.000836222,0.002770999,0.001875155,-0.000115487,,0.001789059,0.002178296,0.00502337,-0.000348257,0.00122443,0.001278574,0.001319664,0.001017787,0.001165671,-0.003312497,0.001850787,-0.003730316,0.000937857,0.001617453,0.000639102,0.001239592,9.94E-05,0.00146821,0.00083792,0.000982929,-0.000358614,7.28E-05,0.001261463,0.00084792,0.000887903,0.001129786,0.001131588,0.00105732,0.000849867,0.001017575,0.00190838,-0.000358614,0.001059109,0.000770183,0.001708212,0.001769223,0.000261918,0.001084698,0.001838803,0.000262362,0.000837071,0.000436818,0.000727331,0.001624692,9.94E-05
"(0.86, 0.88)",0.001943611,,0.004025481,0.003993179,0.003892575,0.004324035,0.003489729,0.005309417,0.002177818,0.001362972,-0.000904278,0.001999312,0.000936776,-8.13E-05,,-0.00123133,0.001705245,0.004392582,-0.000372832,0.000823418,0.001399254,-0.000804298,0.000871122,7.60E-05,-0.004204057,0.001404554,-0.003792298,0.001936667,0.001190419,0.000701661,0.001790465,0.000606974,0.0016202,0.000167417,0.002018693,0.000622688,0.001020186,0.001231678,3.86E-05,0.00158578,0.000549016,0.001542521,0.002444127,0.000759068,0.00059198,0.001237147,0.000622688,0.001767521,0.000305109,0.001685729,0.001913791,0.000809452,0.000468112,0.001474902,-7.56E-05,0.002044383,0.001212648,0.001236085,0.002123754,0.000606974
"(0.88, 0.9)",0.001891679,,0.001991342,0.002152848,0.001616471,0.002465843,0.003958278,0.005164289,0.001524502,0.000189691,-0.001138552,0.003074775,-0.010065814,0.002164069,,-0.000387792,0.00130943,0.004705153,-0.000929198,-4.83E-05,-0.000318459,-0.000856352,0.000354367,0.000225964,-0.007151699,0.001500065,-0.004758378,0.00171363,-0.00033498,0.000595913,0.001379832,0.001426578,-0.00039,-8.47E-05,0.001368373,0.001349234,-0.000623977,0.000917272,0.001757546,0.001119217,0.000437043,0.000565551,0.002456696,0.001458964,-0.000309513,0.000829208,0.001349234,0.002098275,0.000617307,0.00014161,0.002861035,0.000848708,-0.000461791,0.000672209,0.001618631,0.002628747,0.000510129,0.001200434,0.002200851,0.001426578
"(0.9, 0.92)",0.00147997,,0.001162182,0.000875028,0.00128934,0.00065332,0.003686034,0.005212307,0.000969287,0.000306803,-0.001852022,0.002146817,-0.021952395,-0.00178706,,-0.001084031,0.001091629,0.005080032,-0.000826972,-0.000564522,-0.000389625,-0.001354555,-0.000286248,-0.001043916,-0.005764847,0.002096633,-0.004088388,0.002750956,0.000380334,-0.000531835,0.002097286,0.001601501,8.54E-05,-0.000597652,0.003224283,0.001489638,-0.000282158,0.000291014,0.002713304,0.003009384,0.000337622,0.000812377,0.002417793,0.001695423,-0.000309662,-7.28E-05,0.001489638,0.003434457,0.000178217,5.16E-05,0.002865787,0.001702549,0.000309071,0.00136489,0.00191894,0.003003903,-6.72E-05,0.000200069,0.002942587,0.001601501
"(0.92, 0.9400000000000001)",0.003521342,,0.003127541,0.003389921,0.003279202,0.002866656,0.003288008,0.005828895,0.001009646,-0.000377158,-0.001715519,0.002668398,,0.001173617,,-0.002603192,0.000802674,0.005430572,-0.002200131,-0.001080028,-0.001337964,-0.002729939,-0.000539252,-0.00028322,-0.007564246,0.002272715,-0.005191183,0.003343352,9.15E-05,-0.000126046,0.002954055,0.003296361,-0.001171801,-0.000255709,0.002094736,0.001609705,-0.0009266,-0.000152474,0.003350875,0.001649503,-0.000540467,0.000178214,0.003091051,0.002051598,0.000105397,-0.000316711,0.001609705,0.002822887,-0.000416095,-0.000745121,0.004237669,0.001974251,9.04E-05,2.71E-05,0.00159912,0.00425792,0.000262833,-0.001100161,0.003627553,0.003296361
"(0.9400000000000001, 0.96)",0.003679963,,0.002893303,0.002815346,0.002919647,0.003047483,0.004866122,0.006547277,0.000855447,-0.000711959,-0.002325985,0.002127081,,0.000135556,,-0.002728802,0.000652756,0.006497228,-0.003090983,-0.001372597,-0.002100938,-0.001668423,-0.00101343,-0.001939015,-0.00807077,0.002770054,-0.004899327,0.003247856,-0.00133271,-0.000772485,0.003096546,0.002597226,-0.000176536,-0.001374735,0.003111518,0.002763117,-0.000722683,0.000155781,0.003155159,0.00255747,-0.001025125,-0.001064056,0.002591086,0.001677946,-0.002244269,-0.001469968,0.002763117,0.00227168,-0.000851669,-0.00072946,0.001807409,0.002566084,-0.0020601,-0.000639945,0.002582935,0.002230567,-0.000593752,-0.000444682,0.003105294,0.002597226
"(0.96, 0.98)",0.003555902,,-0.000111482,0.000107195,0.000289477,-0.000150656,0.005198416,0.006502572,0.000297954,-0.002218236,-0.003891901,0.002465406,,0.000559103,,-0.006859501,0.000538279,0.006617791,-0.003293872,-0.002341288,-0.003241597,-0.005796616,-0.003140684,-0.002640981,-0.008971426,0.00473541,-0.005137402,0.00339555,-0.00300091,-0.001454682,0.003608899,0.001703567,-0.002483016,-0.003864458,0.003737548,0.003209863,-0.002952986,-0.000599727,0.002358278,0.002010187,-0.001189552,-0.00273041,0.003513015,0.004314066,-0.002336963,-0.000331313,0.003209863,0.002366173,-0.00111239,-0.002819215,0.003469944,0.003333223,-0.001807203,-0.000456675,0.002839448,0.000566622,-0.001129857,-0.002860838,0.003480249,0.001703567
"(0.98, 1.0)",0.002189052,0.000471511,0.005720902,0.005437608,0.005447388,0.005465335,0.006071773,0.00844978,0.00811334,-0.012421451,-0.004418782,0.002827777,,0.000754256,0.000471511,-0.015636649,0.004857004,0.008580848,-0.004323082,-0.007979556,-0.009680165,-0.01084993,-0.008317966,-0.005807096,-0.0098453,0.005659265,0.000977568,0.004887938,-0.008696714,-0.002224853,0.004082179,0.001616719,-0.00242402,-0.007642985,0.004100274,0.003116664,-0.007002473,-0.000930167,0.003354777,0.002004796,-0.001911098,-0.006891736,0.002975736,0.001873455,-0.00717474,-0.001403548,0.003116664,0.00157602,-0.001485874,-0.007563986,0.002188532,0.001587745,-0.006229291,-0.000440384,0.002728059,0.000268431,-0.000698805,-0.006575045,0.001799772,0.001616719
