,_id_rank,日期_rank,开盘_rank,收盘_rank,最高_rank,最低_rank,成交量_rank,成交额_rank,振幅_rank,涨跌幅_rank,涨跌额_rank,换手率_rank,真实价格_rank,代码_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日成交额_rank,delta开盘_rank,昨日涨跌_rank,delta昨日涨跌_rank,昨日开盘收盘_rank,delta昨日开盘收盘_rank,delta昨日振幅_rank,昨日资金贡献_rank,delta昨日资金贡献_rank,昨日资金波动_rank,delta昨日资金波动_rank,SMA2开盘比值_rank,SMA10开盘比值_rank,SMA2delta昨日资金波动_rank,SMA10delta昨日资金波动_rank,ma_delta4周期昨日振幅_rank,ma_delta4周期昨日开盘收盘_rank,ma_delta4周期昨日资金贡献_rank,ma_delta4周期昨日资金波动_rank,SMA3开盘比值_rank,SMA15开盘比值_rank,SMA3delta昨日资金波动_rank,SMA15delta昨日资金波动_rank,ma_delta6周期昨日振幅_rank,ma_delta6周期昨日开盘收盘_rank,ma_delta6周期昨日资金贡献_rank,ma_delta6周期昨日资金波动_rank,SMA4开盘比值_rank,SMA20开盘比值_rank,SMA4delta昨日资金波动_rank,SMA20delta昨日资金波动_rank,ma_delta8周期昨日振幅_rank,ma_delta8周期昨日开盘收盘_rank,ma_delta8周期昨日资金贡献_rank,ma_delta8周期昨日资金波动_rank,SMA5开盘比值_rank,SMA25开盘比值_rank,SMA5delta昨日资金波动_rank,SMA25delta昨日资金波动_rank,ma_delta10周期昨日振幅_rank,ma_delta10周期昨日开盘收盘_rank,ma_delta10周期昨日资金贡献_rank,ma_delta10周期昨日资金波动_rank
"(0.2, 0.22)",0.001110543,,-0.001435719,-0.001641172,-0.00170771,-0.001405577,-0.002077909,-0.002439654,-0.000641664,0.001639251,0.000469636,-0.000439934,-0.001577225,0.001484193,,0.004115953,-6.02E-05,-0.002312435,0.001353154,0.002346067,0.001043148,0.004336707,0.00090011,0.000919929,0.004158742,0.0020653,0.00287007,-0.000226173,0.001329479,0.000571077,-4.25E-05,0.001210714,0.001113373,0.002049164,0.001832592,0.000846487,0.002026093,0.002665938,0.000887117,0.001006333,0.001157208,0.001476497,0.002047533,0.000398363,0.000738347,0.002291531,0.000846487,0.00203283,0.00206516,0.000984207,0.002695101,0.000725407,0.000263714,0.003620069,0.000899127,0.001813262,0.00155829,0.002164974,0.001987418,0.001210714
"(0.22, 0.24)",-0.003061869,,-0.001539083,-0.001553777,-0.001931574,-0.001733107,-0.002841589,-0.003202951,0.000952366,0.000951131,0.001337496,0.000358947,0.000822715,0.001459933,,0.002586424,0.000993621,-0.003309263,0.002124716,0.002277397,0.001871735,0.002621542,0.001737016,0.001417085,0.004577356,0.000673107,0.00234235,0.00066823,0.001130718,0.002090963,0.000559105,0.001124368,0.001040317,0.001138631,0.000494462,0.000834814,0.001652433,0.002225711,0.000662283,0.000633523,0.00164479,0.001445024,0.00190192,0.000677394,0.001330483,0.002100906,0.000834814,0.00175478,0.001572173,0.001647226,0.000736955,0.000164452,0.001572372,0.003584631,0.000672105,0.001521241,0.002120548,0.001926091,0.001842375,0.001124368
"(0.24, 0.26)",-0.000234701,,0.000541604,0.001296735,0.00136875,0.000968722,-0.000720652,-0.00122184,0.000852662,0.000664154,0.000656723,3.41E-05,-0.000514018,0.000799461,,0.003079012,0.000363922,-0.001367749,0.001988709,0.001122089,0.001320132,0.003104176,0.001326089,0.001434481,0.003277776,0.00040118,0.002135336,-0.000508531,0.00266192,0.003142005,-7.25E-05,0.001668959,0.00158056,0.000974926,0.00114982,0.001695192,0.001765336,0.002003575,0.000536926,0.000216468,0.001287144,0.001705371,0.002104895,0.00067716,0.001504552,0.002867788,0.001695192,0.000307404,0.001516075,0.000565961,0.001326854,0.000949772,0.002133646,0.003694975,3.55E-05,0.001446534,0.003009171,0.000826008,0.001244565,0.001668959
"(0.26, 0.28)",-0.001216961,,-0.00069463,-0.000886645,-0.000646587,-0.000954157,-0.001367102,-0.001977376,0.000793704,0.001233197,0.001878345,0.001096941,-0.000212191,0.000136883,,0.000347098,0.001941105,-0.002051582,0.001663952,0.001732267,0.001439975,-0.000278847,0.001685995,0.001365741,0.003373794,0.001005943,0.00226761,-0.000374394,0.001345192,0.001442894,-0.000897946,0.000745771,0.001796081,0.001558254,0.001817874,0.000241098,0.001983901,0.002125102,-0.000303963,0.000388903,0.000924527,0.001672949,0.000756921,0.000382843,0.001968038,0.001672267,0.000241098,0.000193867,0.001857102,0.002038816,0.000829476,0.000296062,0.001688076,0.001958272,-3.07E-05,0.001086569,0.001642399,0.001552331,6.75E-05,0.000745771
"(0.28, 0.3)",0.000473722,,0.000540752,0.000305716,0.000169317,0.000477172,-0.001012241,-6.01E-07,0.00041652,0.001924317,0.002787107,0.001305712,-0.001080234,0.002128624,,0.001593967,0.000237487,5.28E-05,0.001926363,0.00265749,0.000843978,0.001658914,0.001381801,0.001289465,0.002958225,1.30E-06,0.002851329,0.000414573,0.002148418,0.003301636,-0.000210672,8.04E-05,0.00189876,0.002381938,0.000174742,-2.05E-05,0.001993512,0.001972889,0.000483839,-0.000415301,0.001914068,0.00129569,-7.47E-05,-0.000197286,0.00171855,0.002706819,-2.05E-05,0.000372927,0.002113846,0.001931181,0.001480729,-0.000199551,0.001595729,0.002799033,8.61E-05,0.001715412,0.001202562,0.00115368,0.000999149,8.04E-05
"(0.3, 0.32)",0.000886244,,0.000577541,0.000605218,0.000832696,0.000850499,-0.00049776,-0.001311305,0.000451409,0.002157531,0.002422899,0.000739587,0.000515241,-0.000132485,,-0.000734956,0.001495557,-0.000978044,0.002607785,0.002225347,0.001172719,0.000434864,0.001705026,0.001792076,0.002670279,-5.03E-05,0.002236761,-0.00013136,0.001873705,0.003026585,-0.000780895,0.000269114,0.001305289,0.001312069,-0.0002043,-9.35E-05,0.002094868,0.002974637,-0.000212073,0.000272645,0.001741856,0.001320326,0.000511545,-0.000624336,0.002355879,0.002818198,-9.35E-05,0.000650752,0.002026002,0.001858261,0.000175598,0.000638282,0.0018307,0.002609498,0.000111645,0.00114602,0.002227805,0.002143944,0.000751119,0.000269114
"(0.32, 0.34)",-0.001885239,,0.000119799,5.87E-05,0.000189084,-0.000273481,-0.000841211,-0.000485161,0.001685407,0.001751197,0.002400631,0.001282137,0.000402414,0.001733607,,0.002185234,0.001410951,-0.000288337,0.003047182,0.002201736,0.001832274,0.002747107,0.0014417,0.000971239,0.002070268,-0.000351557,0.001750866,-0.00111826,0.001019186,0.002687516,-0.001180472,0.000269139,0.001656456,0.001996183,0.000689635,0.000582741,0.002821807,0.003129543,-0.000988328,0.000186467,0.002408301,0.001396256,0.000655715,0.000755435,0.00176424,0.004052882,0.000582741,0.000176329,0.002482154,0.002467257,0.000663998,-0.000157046,0.002216201,0.002914029,-0.000129873,0.001286172,0.002223638,0.002385433,0.000670765,0.000269139
"(0.34, 0.36)",-0.00016067,,0.002077169,0.00148922,0.001363767,0.001821881,-0.001066808,0.000128906,0.001537725,0.001643529,0.002193839,0.00321641,0.001107048,-0.001000844,,0.004005607,0.000783859,0.00032583,0.002675825,0.002460234,0.002178865,0.002827707,0.001589579,0.001317141,0.002467286,-0.000120052,0.002166472,-0.001008619,0.002274755,0.003585082,-0.000810797,-0.000219411,0.001814658,0.002706465,0.001582181,-0.000745343,0.002456625,0.002957684,-0.001005833,-0.000247174,0.002413961,0.002125757,0.000309194,-0.000241428,0.002515173,0.003486739,-0.000745343,-0.000192014,0.001585754,0.001796495,0.000271508,0.000411629,0.002795747,0.003568119,0.000149568,0.000457201,0.002047663,0.001835938,0.00047849,-0.000219411
"(0.36, 0.38)",0.001349018,,-0.000211196,0.000266193,4.60E-07,-0.000206398,-0.000328702,-0.000782228,0.001781232,0.002489238,0.00141639,0.002644588,0.002631736,-0.000947661,,0.002775867,0.001633505,-0.000449137,0.001478042,0.002366616,0.001932653,0.002625228,0.002319201,0.001882651,0.002540096,-0.001779053,0.001204474,-0.001567988,0.001288826,0.003812527,-0.000947155,0.000531763,0.001224684,0.001214495,0.000747402,-0.000507276,0.001905715,0.00367639,-0.000672843,0.000331392,0.002067076,0.001848362,6.25E-05,-0.000488083,0.00217911,0.002836943,-0.000507276,-2.84E-05,0.002022565,0.002978566,-0.000590002,0.000644544,0.002477805,0.00309689,0.000243004,0.001210242,0.002479516,0.002400046,5.54E-05,0.000531763
"(0.38, 0.4)",-0.003630104,,0.000471824,0.000317372,0.000194504,0.00097061,0.000726079,0.000785035,0.000624382,0.002480129,0.003558529,0.001883718,0.000867455,-0.001090038,,0.002105097,0.001625735,0.000993473,0.003161767,0.002638699,0.0013507,0.001347693,0.000988769,0.001978558,0.002165349,-0.000615985,0.001905216,-0.001130336,0.001995983,0.003092472,-0.001080715,0.000228073,0.001741163,0.001250157,-0.000839429,0.000347494,0.001663096,0.002822445,-0.000583642,-8.69E-05,0.001916429,0.002154432,-0.000780703,0.000329185,0.002083379,0.003557867,0.000347494,0.000369354,0.002384128,0.002658566,-0.000635639,0.000209947,0.002587417,0.003385795,0.000424134,0.000222672,0.002219318,0.002144654,-0.001108078,0.000228073
