,_id_rank,代码_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,SMA2开盘比值_rank,SMA20开盘比值_rank,SMA3开盘比值_rank,SMA30开盘比值_rank,SMA4开盘比值_rank,SMA40开盘比值_rank,SMA5开盘比值_rank,SMA50开盘比值_rank,SMA6开盘比值_rank,SMA60开盘比值_rank,SMA7开盘比值_rank,SMA70开盘比值_rank,SMA8开盘比值_rank,SMA80开盘比值_rank,SMA9开盘比值_rank,SMA90开盘比值_rank
"(0.2, 0.22)",-0.000135162,-3.67E-05,-7.26E-05,-7.17E-05,-7.12E-05,-7.24E-05,-9.13E-05,-0.000128165,-0.00010993,-0.000129736,-0.000120103,-4.26E-05,-0.000175982,-0.000131295,-0.000119256,-0.000124291,0.000649396,0.000298559,-8.15E-05,-9.90E-05,-0.000127378,-8.03E-05,-0.000120239,-8.32E-05,-0.000109102,-5.89E-05,-9.08E-05,-0.000105548,-8.69E-05,-5.92E-05,-0.000101564,-8.91E-05,-9.72E-05,-7.37E-05
"(0.22, 0.24)",-0.000132232,-0.000139112,-5.97E-05,-5.59E-05,-6.40E-05,-5.90E-05,-0.000166009,-0.000136157,-9.98E-05,-0.000166888,-0.000119963,-8.44E-05,-0.000170179,-0.000116236,-0.000147078,-9.24E-05,0.000395406,0.0001394,-0.000118224,-9.67E-05,-8.49E-05,-0.000124769,-0.00011343,-7.31E-05,-0.000121652,-0.00013972,-0.000111388,-0.000117674,-0.000109652,-9.26E-05,-9.27E-05,-8.54E-05,-0.000142782,-9.78E-05
"(0.24, 0.26)",-0.000197426,-0.000103594,-0.000139627,-0.000142637,-0.000137382,-0.00014011,-0.000153805,-0.000149952,-0.000155968,-0.000156245,-0.000167263,-0.000150621,-0.000138055,-0.000180513,-0.000142033,-0.000126857,0.000371293,0.000119302,-0.000103294,-0.00012463,-0.000104416,-0.000109795,-0.000127968,-9.48E-05,-0.000103208,-0.000113625,-0.000136219,-0.000122486,-0.000156355,-0.000140521,-0.000156233,-0.000156848,-0.000139075,-0.000122186
"(0.26, 0.28)",-7.65E-05,0.000116359,-0.00014503,-0.000144229,-0.000145163,-0.000146364,-0.000166376,-8.60E-05,-0.000107388,-0.000153463,-0.000163014,-3.09E-05,-0.000158791,-9.26E-05,-0.000109798,-8.60E-05,0.000453427,0.000185424,-4.16E-05,-5.60E-05,-8.28E-05,-5.73E-05,-6.81E-05,-8.91E-05,-5.35E-05,-3.11E-05,-7.27E-05,-5.30E-06,-9.75E-05,-7.36E-05,-7.29E-05,-3.01E-05,-7.55E-05,-3.71E-05
"(0.28, 0.3)",-4.36E-05,-0.000135809,-0.000204703,-0.000205374,-0.00020284,-0.000204522,-0.000102417,-0.000132068,-0.000113792,-0.000158328,-0.000117085,-0.000112641,-0.000103295,-0.000127339,-0.000142119,-9.79E-05,0.000354718,6.11E-05,-0.000101615,-8.60E-05,-0.00011075,-8.68E-05,-0.000102044,-0.000100772,-0.000101112,-9.78E-05,-9.95E-05,-8.88E-05,-9.80E-05,-0.000111961,-0.000110175,-7.33E-05,-0.000124115,-8.57E-05
"(0.3, 0.32)",-0.000156628,-3.81E-06,-0.000193061,-0.000194871,-0.000190519,-0.00019069,-0.000137412,-0.000110629,-0.000123604,-0.000117598,-0.00012297,-3.62E-05,-0.000109529,-6.25E-05,-0.000125816,-5.60E-05,0.000317108,2.44E-05,-0.000107154,-7.76E-05,-0.000107237,-3.22E-05,-6.10E-05,-0.000116505,-6.65E-05,-4.97E-05,-7.62E-05,-5.83E-05,-0.000108635,-0.000113032,-0.00012521,-0.000106353,-0.000102864,-7.23E-05
"(0.32, 0.34)",-7.59E-05,-0.000173658,-0.000110339,-0.000107036,-0.00011857,-0.000113157,-0.000157381,-0.000134962,-0.000144688,-0.000161095,-0.000106643,4.66E-05,-7.00E-05,-6.37E-05,-0.000144098,-5.56E-05,0.000182535,7.21E-06,-8.88E-05,-8.23E-05,-6.70E-05,-0.000100932,-6.03E-05,-5.45E-05,-7.48E-05,-5.73E-05,-6.95E-05,-9.89E-05,-8.34E-05,-8.24E-05,-4.91E-05,-0.000104114,-6.48E-05,-9.45E-05
"(0.34, 0.36)",-0.000131203,-7.38E-05,-2.82E-05,-2.60E-05,-1.32E-05,-2.12E-05,-0.000158491,-0.000151795,-0.000133295,-0.000155488,-0.00018819,9.62E-06,-0.000115269,-0.000156675,-0.000190272,-8.93E-05,6.23E-05,-4.09E-05,-0.000134344,-0.000152974,-0.000136081,-0.000126862,-0.000160016,-9.79E-05,-0.000100195,-0.000142483,-0.00011985,-0.000111775,-8.98E-05,-0.000115546,-0.000133665,-0.000108343,-8.15E-05,-0.000118092
"(0.36, 0.38)",-6.35E-05,-0.000152908,-0.000215695,-0.000217059,-0.000218269,-0.000216947,-0.000111941,-0.000105846,-9.17E-05,-0.000126699,-0.000111379,5.73E-06,-0.000122906,-8.73E-05,-0.000131801,-5.66E-05,7.35E-05,-4.12E-05,-6.32E-05,-8.50E-05,-0.000132206,-8.78E-05,-5.45E-05,-0.000103145,-8.02E-05,-7.65E-05,-5.40E-05,-9.10E-05,-0.000116311,-2.21E-05,-8.24E-05,-2.41E-05,-7.75E-05,-3.61E-05
"(0.38, 0.4)",-0.000170135,-0.000158218,-0.000144937,-0.000147572,-0.000140543,-0.000145679,-0.000108009,-0.000117352,-9.94E-05,-0.000114543,-9.06E-05,8.39E-06,-4.56E-05,-9.51E-05,-0.00015918,-2.86E-05,4.32E-05,-5.27E-05,-7.22E-05,-7.22E-05,-3.11E-05,-6.74E-05,-7.46E-05,-6.43E-05,-8.43E-05,-5.92E-05,-6.79E-05,-4.36E-06,-4.91E-05,-3.68E-05,-8.94E-05,-5.56E-05,-7.78E-05,-6.12E-05
"(0.4, 0.42)",-0.000103307,-8.91E-05,-5.44E-05,-4.71E-05,-6.29E-05,-5.59E-05,-0.000134396,-0.000131398,-0.000159906,-0.000132795,-0.000113074,0.00022183,-5.84E-05,-0.000101006,-0.000170612,-5.33E-05,3.37E-05,-7.26E-05,-7.47E-05,-0.000102317,-6.44E-05,-0.000122291,-8.66E-05,-8.81E-05,-0.000104099,-8.68E-05,-0.000101624,-6.82E-05,-6.13E-05,-8.68E-05,-0.000102119,-8.04E-05,-8.11E-05,-0.000100417
"(0.42, 0.44)",-1.32E-05,-7.94E-05,-6.86E-05,-7.23E-05,-6.45E-05,-7.08E-05,-7.72E-05,-0.000116847,-8.07E-05,-7.17E-05,-6.65E-05,5.37E-06,-2.84E-05,-7.88E-05,-0.000173438,5.55E-06,4.63E-05,-7.45E-05,-8.31E-05,-5.84E-05,-9.56E-05,-5.78E-05,-4.86E-05,-7.95E-05,-5.21E-05,-2.42E-05,-8.53E-05,-4.40E-05,-7.33E-05,-6.52E-05,-3.62E-05,-5.22E-05,-5.52E-05,-5.59E-05
