日期,执行策略,收益率,资金余额
2020-12-23,震荡策略,-0.0444720473129564,10940.916171505834
2020-12-24,震荡策略,0.04515380985718398,11434.940219977398
2020-12-25,震荡策略,-0.014209369693337193,11272.456926970528
2020-12-28,超跌策略,-0.026735421963966277,10971.083034457337
2020-12-29,震荡策略,-0.0009421393224209318,10960.74674572103
2020-12-30,超跌策略,0.01912246593097655,11170.343251944141
2020-12-31,超跌策略,0.047337278106508895,11699.116897006586
2021-01-04,震荡策略,-0.010294547661025444,11578.679780518443
2021-01-05,震荡策略,0.008987129084147005,11682.738870329966
2021-01-06,震荡策略,0.0029686609280583642,11717.420960747024
2021-01-07,震荡策略,-0.0018055330986763707,11696.264769371272
2021-01-08,震荡策略,-0.04861400323750753,11127.66251600631
2021-01-11,超跌策略,0.030136731010671935,11463.013888028729
2021-01-12,超跌策略,-0.024024890303410706,11187.616236822365
2021-01-13,超跌策略,0.011771461418230933,11319.310829716092
2021-01-14,超跌策略,0.024020599187286606,11591.207458233015
2021-01-15,超跌策略,0.012293247202651791,11733.701036894296
2021-01-18,超跌策略,-0.0003514166567876176,11729.577618904164
2021-01-19,超跌策略,0.003566689158794434,11771.413376234748
2021-01-20,超跌策略,0.00569105783573276,11838.40517056722
2021-01-21,震荡策略,-0.0029823435998916903,11803.098978673854
2021-01-22,超跌策略,0.040864655391602556,12285.428550990337
2021-01-25,超跌策略,-0.0036499069272259987,12240.587880218138
2021-01-26,超跌策略,0.03352178521208038,12650.914238008405
2021-01-27,超跌策略,0.006202113576416757,12729.376644958042
2021-01-28,超跌策略,-0.02394747466591296,12424.540220240046
2021-01-29,震荡策略,0.008298755186721962,12527.648437835398
2021-02-01,超跌策略,-0.050163689673160095,11899.215369265374
2021-02-02,震荡策略,0.034858898260960114,12314.008907207848
2021-02-03,超跌策略,0.01692387716620969,12522.409681377047
2021-02-04,超跌策略,0.026688166905558308,12856.609841013416
2021-02-05,超跌策略,-0.007706772000770079,12757.526880265868
2021-02-08,超跌策略,0.026140878740857465,13091.019843476128
2021-02-09,超跌策略,0.039665282493809295,13610.27884369967
2021-02-10,超跌策略,0.03428311283451091,14076.881569007382
2021-02-18,超跌策略,0.0384421609508836,14618.027315969692
2021-02-19,超跌策略,0.032467963034334746,15092.64488649949
2021-02-22,超跌策略,-0.03542834154569785,14557.937508632656
2021-02-23,超跌策略,-0.008684809841037033,14431.504589692482
2021-02-24,震荡策略,0.009070015595501912,14562.39856138755
2021-02-25,震荡策略,0.008442602532392929,14685.343104359636
2021-02-26,震荡策略,0.05185798524983576,15446.895410454295
2021-03-01,震荡策略,0.009030169245980657,15586.38349033566
2021-03-02,震荡策略,0.05084263355755758,16378.836274622361
2021-03-03,震荡策略,0.03290161747996345,16917.726480496935
2021-03-04,震荡策略,0.017517092039992743,17214.07585236322
2021-03-05,震荡策略,-0.0106490845110071,17030.76170383252
2021-03-08,超跌策略,-0.025238451054876654,16600.931658143076
2021-03-09,震荡策略,-0.04823747680890533,15800.144602277176
2021-03-10,震荡策略,-0.044334975369458074,15099.645580501341
2021-03-11,震荡策略,0.010244753895747083,15254.337733386583
2021-03-12,震荡策略,0.029923735578349042,15710.804502143275
2021-03-15,震荡策略,-0.014568089028871078,15481.928103440863
2021-03-16,超跌策略,-0.0026448601452452314,15440.98056882852
2021-03-17,超跌策略,0.015172001471670526,15675.251148742822
2021-03-18,震荡策略,-0.004553019418996107,15603.881425864955
2021-03-19,震荡策略,0.026798561151079037,16022.042996450184
2021-03-22,震荡策略,0.029160577816986555,16489.255028035273
2021-03-23,震荡策略,0.015606381653292312,16746.59263518126
2021-03-24,震荡策略,-0.015197566219570469,16492.08518465592
2021-03-25,震荡策略,0.015605544749415667,16749.453158016244
2021-03-26,震荡策略,0.004070913269010212,16817.638729125876
2021-03-29,震荡策略,0.013546508057397322,17045.459007676378
2021-03-30,震荡策略,0.011356599054162642,17239.037451320724
2021-03-31,震荡策略,-0.008702774411788683,17089.009997305504
2021-04-01,震荡策略,-0.011677887909946949,16889.446454065008
2021-04-02,震荡策略,0.025850376504802375,17326.045003860287
2021-04-06,震荡策略,0.023425439352062982,17731.91522030933
2021-04-07,震荡策略,-0.0031565874224500634,17675.94287974895
2021-04-08,震荡策略,-0.019976397382255207,17322.84122067704
2021-04-09,震荡策略,0.06352726020041133,18423.313862313404
2021-04-12,震荡策略,-0.02197507277851285,18018.46019936768
2021-04-13,震荡策略,0.026692216500040722,18499.41284000657
2021-04-14,震荡策略,-0.01817226890756307,18163.236535245946
2021-04-15,震荡策略,0.047683481273002704,19029.322884431465
2021-04-16,震荡策略,0.0006611894093326853,19041.904871189425
2021-04-19,震荡策略,-0.003835747879744278,18968.86492495347
2021-04-20,震荡策略,0.036122498991683294,19654.067729078477
2021-04-21,震荡策略,0.03052639333923146,20254.035531292222
2021-04-22,震荡策略,0.028602949291997914,20833.3606825521
2021-04-23,震荡策略,-0.0005002378891539871,20822.939046180276
2021-04-26,震荡策略,0.0003938325412309318,20831.13979718073
2021-04-27,震荡策略,0.04186445147679341,21703.224038426102
2021-04-28,震荡策略,-0.013556095195287998,21409.013067316537
2021-04-29,震荡策略,-0.0013109969521084563,21380.945916437635
2021-04-30,震荡策略,0.04151380004818983,22268.55023005379
2021-05-06,震荡策略,0.03681223407355616,23088.30531360127
2021-05-07,震荡策略,0.03768541911889223,23958.39777608928
2021-05-10,震荡策略,-0.021497803418178196,23443.344850484395
2021-05-11,震荡策略,0.028493647912885667,24111.331264554457
