日期,收益率,资金余额
2020-10-12,-0.011427326581374353,11056.648604159545
2020-10-13,-0.015355541411548046,10886.86777864544
2020-10-14,-0.01335693725652276,10741.452568806013
2020-10-15,-0.018445990950891833,10543.315831922384
2020-10-16,-0.014153094574025693,10394.095285829364
2020-10-19,-0.006507531139574252,10326.455387089127
2020-10-20,-0.003372903638900193,10291.625248137074
2020-10-21,-0.0022785502671973656,10268.175262678036
2020-10-22,0.002143107852848214,10290.181069717903
2020-10-23,0.032171158798102395,10621.228118973024
2020-10-26,-0.009955583037762783,10515.487600471566
2020-10-27,-0.010157349130324178,10408.678121637982
2020-10-28,0.007383414807392352,10485.529709806666
2020-10-29,-0.0016000000000001569,10468.752862270974
2020-10-30,0.025082866330287557,10731.339190960132
2020-11-02,0.03637879130540789,11121.732339815615
2020-11-03,0.02311708641177712,11378.83438736379
2020-11-04,0.026955287042703224,11685.554134486563
2020-11-05,0.03099292229860806,12047.723605792884
2020-11-06,0.02018894006836991,12290.954375630521
2020-11-09,0.016632809505578994,12495.387478402146
2020-11-10,0.030624091629491756,12878.047369486738
2020-11-11,0.018752573813446638,13119.5439033561
2020-11-12,0.02823982259204394,13490.037495675408
2020-11-13,0.0016517452383879583,13512.319600874565
2020-11-16,0.008334189149374005,13624.933828275049
2020-11-17,0.033760829958627614,14084.922902448996
2020-11-18,0.03709335671763214,14607.379972009883
2020-11-19,0.03603780478949914,15133.797879927215
2020-11-20,0.020877692121819225,15449.756652698175
2020-11-23,0.0019506099489254858,15479.893101733407
2020-11-24,-0.001629195399120098,15454.673331113192
2020-11-25,-0.0011859398214576489,15436.345018582206
2020-11-26,0.018825242465432046,15726.93795633708
2020-11-27,0.005603951693105458,15815.07095692486
2020-11-30,-0.00285222778819727,15769.962772069206
2020-12-01,-0.010274285459560328,15607.937672862328
2020-12-02,-0.017183325329912513,15339.741402100537
2020-12-03,-0.023381415079298584,14981.076541168923
2020-12-04,-0.02228207984117636,14647.266997571822
2020-12-07,-0.021227886112401007,14336.336481889437
2020-12-08,-0.0330820909094135,13862.06049508763
2020-12-09,-0.03515948458760121,13374.6775927582
2020-12-10,-0.026941777148485224,13014.34000962127
2020-12-11,-0.008452273742529659,12904.339245281595
2020-12-14,0.017160011455337187,13125.777854554184
2020-12-15,0.024078593746415855,13441.828127119696
2020-12-16,0.0030023377332055734,13482.185034909011
2020-12-17,-0.006661977884638182,13392.367016369848
2020-12-18,-0.012393733072705637,13226.385594357253
2020-12-21,-0.010464303946761344,13087.980675380833
2020-12-22,0.010340881134014879,13223.32192782923
2020-12-23,-0.000216832367437525,13220.45468363023
2020-12-24,-0.009682282239717122,13092.450510045932
2020-12-25,-0.0056173201661903205,13018.906023771002
2020-12-28,0.005565325080831851,13091.360467990087
2020-12-29,-0.0061787687225997034,13010.471979394191
2020-12-30,-0.02073890211850682,12740.64907449796
2020-12-31,-0.024476610300636747,12428.801172124306
2021-01-04,-0.0525008370836646,11776.278706641348
2021-01-05,-0.045612801223616994,11239.129646841402
2021-01-06,-0.030207159051836352,10899.627469995054
2021-01-07,-0.017837731243012467,10705.202844536327
2021-01-08,-0.019946995496291753,10491.66621160947
2021-01-11,0.028288124888383726,10788.455775690714
2021-01-12,0.05655825242870738,11398.631980768176
2021-01-13,0.06551436508426223,12145.406117817369
2021-01-14,0.04508765506989132,12693.013999541266
2021-01-15,0.02445582523822276,13003.432131660362
2021-01-18,0.004997567721460872,13068.417664349754
2021-01-19,-0.020453514135063244,12801.122598929067
2021-01-20,-0.015912713904592257,12597.421997354699
2021-01-21,-0.03959005118054393,12098.689415736517
2021-01-22,0.001351771717532868,12115.044081907923
2021-01-25,-0.005261891164904053,12051.29603849091
2021-01-26,-0.019965548391960963,11810.68530424857
2021-01-27,-0.028710644593045065,11471.59291607799
2021-01-28,0.0011678521939593178,11484.990041033241
2021-01-29,-0.030468737133006685,11135.0568984978
2021-02-01,-0.02664207823684206,10838.395841436333
2021-02-02,-0.008232319986449799,10749.170698729822
2021-02-03,-0.014198028775511462,10596.553663836372
2021-02-04,0.021488514792596947,10824.257863992267
2021-02-05,0.052516705591344914,11392.712227480348
2021-02-08,0.07994172139894107,12303.465254347891
2021-02-09,0.09786399111941368,13507.531468737408
2021-02-10,0.11572886740065935,15070.742786993153
2021-02-18,0.06343136437204233,16026.700564072244
2021-02-19,0.03238324077561949,16545.697067277353
2021-02-22,0.008796671226018127,16691.244124583485
2021-02-23,0.04321273706120721,17412.518468163533
2021-02-24,0.00994732738802706,17585.726490016423
2021-02-25,0.02725687662846421,18065.058467376715
2021-02-26,0.07224431297221146,19370.156205155177
2021-03-01,0.027506161521863026,19902.954850437894
2021-03-02,0.03192945747873788,20538.44540103619
2021-03-03,0.010920640919055424,20762.738388296533
2021-03-04,-0.03700139723698159,19994.488057463645
2021-03-05,-0.03616599919505925,19271.367418471793
2021-03-08,0.008258796371683808,19430.525717784854
2021-03-09,0.04587849319070991,20321.96895962016
2021-03-10,0.04226408246243385,21180.85833152857
2021-03-11,0.01848706280932788,21572.430189859013
2021-03-12,0.017776167687661326,21955.905326344313
2021-03-15,-0.013469574938477447,21660.168614209004
2021-03-16,0.008934008341408006,21853.68074128465
2021-03-17,-0.008358531243127909,21671.01606803128
2021-03-18,-0.024155273231575736,21147.546753702118
2021-03-19,0.020208468265772828,21574.906281173255
2021-03-22,-0.005094041604663868,21465.002810960235
2021-03-23,0.017467840550738245,21839.95005748324
2021-03-24,-0.002894622873178987,21776.73163849776
2021-03-25,0.01266627043814128,22052.5616106898
2021-03-26,0.010050932196688622,22274.210412202145
2021-03-29,0.010481496187409345,22507.677463715194
2021-03-30,0.02536281842692012,23078.535600439085
2021-03-31,0.03059541253242304,23784.63291777873
2021-04-01,0.03794165408833661,24687.061232563155
2021-04-02,0.020054484265360273,25182.14751360958
2021-04-06,0.08393182637436847,27295.731146455593
2021-04-07,0.02985331447192685,28110.599192111902
2021-04-08,0.017799018060298044,28610.940254818102
2021-04-09,0.0287403438673699,29433.22851611035
2021-04-12,0.048865080126734295,30871.485585938564
2021-04-13,0.03370253553536351,31911.932925928122
2021-04-14,-0.005303872615272431,31742.67609878188
2021-04-15,-0.009710373757011337,31434.442849814957
2021-04-16,-0.007406837912207087,31201.61302676584
2021-04-19,-0.01779567469041554,30646.359271525285
2021-04-20,-0.0042918939877871765,30514.82834642026
2021-04-21,-0.020800564121786547,29880.102702735236
2021-04-22,-0.02384047623015162,29167.746824496186
2021-04-23,-0.020435580029714462,28571.686999977745
2021-04-26,-0.006190940907249476,28394.801374140454
2021-04-27,0.02351602455725499,29062.53422055312
2021-04-28,0.07596153852889231,31270.169033494916
2021-04-29,0.08045390476554681,33785.976234918264
2021-04-30,0.053726803952905966,35601.18875644926
2021-05-06,0.0600026345074427,37737.35387343296
2021-05-07,0.01406756163945344,38268.22642515735
2021-05-10,-0.015976061438765843,37656.850888636436
2021-05-11,-0.025802727113377832,36685.20144120779
2021-05-12,-0.008044025883500283,36390.10473127329
2021-05-13,0.016272678676098717,36982.26921255488
2021-05-14,-0.014945662484986966,36429.54469897511
2021-05-17,0.007279749553188886,36694.742660720345
2021-05-18,-0.005518816396781978,36492.231113248665
2021-05-19,0.01497469897711401,37038.691289172835
2021-05-20,0.030200267037497674,38157.269656825294
2021-05-21,0.02870204513885577,39252.46133289098
2021-05-24,0.024423994293744533,40211.16322450094
2021-05-25,0.01322046209802874,40742.7733838281
2021-05-26,0.00036212691985659795,40757.52743886
2021-05-27,0.008069807483240155,41086.43283878448
2021-05-28,0.027130540052380914,42201.12995052658
