_id,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,代码,昨日成交额,开盘收盘幅,开盘开盘幅,SMA121开盘比值,SMA121收盘比值,SMA121最高比值,SMA121最低比值,SMA121成交量比值,SMA9开盘比值,SMA4开盘比值,SMA9开盘动能4,SMA9成交量比值,SMA4成交量比值,SMA9成交量动能4,未来60日最高开盘价,未来60日最低开盘价,未来60日最高开盘价日期,未来60日最低开盘价日期,1日后总涨跌幅（未来函数）,40日最高开盘价比值,40日最低开盘价比值,2日后总涨跌幅（未来函数）,80日最高开盘价比值,80日最低开盘价比值,3日后总涨跌幅（未来函数）,120日最高开盘价比值,120日最低开盘价比值,4日后总涨跌幅（未来函数）,160日最高开盘价比值,160日最低开盘价比值,5日后总涨跌幅（未来函数）,200日最高开盘价比值,200日最低开盘价比值,6日后总涨跌幅（未来函数）,240日最高开盘价比值,240日最低开盘价比值,7日后总涨跌幅（未来函数）,280日最高开盘价比值,280日最低开盘价比值,8日后总涨跌幅（未来函数）,320日最高开盘价比值,320日最低开盘价比值,9日后总涨跌幅（未来函数）,360日最高开盘价比值,360日最低开盘价比值,10日后总涨跌幅（未来函数）,400日最高开盘价比值,400日最低开盘价比值,11日后总涨跌幅（未来函数）,440日最高开盘价比值,440日最低开盘价比值,12日后总涨跌幅（未来函数）,480日最高开盘价比值,480日最低开盘价比值,13日后总涨跌幅（未来函数）,520日最高开盘价比值,520日最低开盘价比值
643deb312229bd84d0283d1b,2020-05-07,1.11,1.11,1.14,1.1,4745762.0,539442448.0,3.7,2.77777777777779,0.03,1.5,600010.0,351162272.0,2.77777777777779,6.730769230769229,,,,,,,,,,,,1.23,1.04,43.0,12.0,-0.9009009009009028,,,-1.8018018018018056,,,-0.9009009009009028,,,-1.8018018018018056,,,-2.7027027027027084,,,-2.7027027027027084,,,-0.9009009009009028,,,-2.7027027027027084,,,-4.504504504504503,,,-4.504504504504503,,,-5.405405405405405,,,-6.3063063063063085,,,-5.405405405405405,,
643dea0b2229bd84d01d39e5,2020-05-07,1.42,1.39,1.43,1.38,1327894.0,187354319.0,3.68,2.2058823529411686,0.03,1.5,603077.0,75731181.0,4.411764705882337,6.766917293233066,,,,,,,,,,,,1.43,1.3,43.0,16.0,-0.7194244604316502,,,-1.4388489208632893,,,0.0,,,-1.4388489208632893,,,-2.1582733812949506,,,-2.1582733812949506,,,-1.4388489208632893,,,-2.1582733812949506,,,-2.877697841726601,,,-2.877697841726601,,,-3.597122302158262,,,-3.597122302158262,,,-3.597122302158262,,
643dea7b2229bd84d02186b6,2020-05-07,2.42,2.41,2.47,2.38,37395.0,9033959.0,3.75,0.4166666666666874,0.01,0.21,600815.0,13790127.0,0.8333333333333304,6.140350877192979,,,,,,,,,,,,2.72,2.22,4.0,49.0,0.8298755186721962,,,5.8091286307053736,,,9.958506224066376,,,12.03319502074689,,,12.03319502074689,,,11.203319502074692,,,6.224066390041494,,,7.05394190871369,,,6.224066390041494,,,2.9045643153526868,,,0.4149377593360981,,,2.4896265560165887,,,7.468879668049788,,
643deb962229bd84d02bb3a6,2020-05-07,2.77,2.62,2.77,2.62,226852.0,61050877.0,5.42,-5.415162454873645,-0.15,1.76,558.0,38768011.0,0.0,10.358565737051803,,,,,,,,,,,,2.94,2.54,46.0,6.0,1.9083969465648831,,,1.1450381679389166,,,0.0,,,0.0,,,-1.526717557251911,,,-2.6717557251908497,,,-1.9083969465648944,,,-2.2900763358778664,,,1.1450381679389166,,,-1.9083969465648944,,,-2.2900763358778664,,,-2.2900763358778664,,,-0.3816793893129833,,
643dea3f2229bd84d01f50a4,2020-05-08,1.29,1.31,1.33,1.28,376684.0,49168394.0,3.88,1.5503875968992276,0.02,0.37,601258.0,61777112.0,0.0,4.0322580645161255,,,,,,,,,,,,1.32,1.14,0.0,47.0,-0.7633587786259555,,,0.7633587786259444,,,-0.7633587786259555,,,-2.2900763358778664,,,-1.526717557251911,,,-4.580152671755733,,,-4.580152671755733,,,-2.2900763358778664,,,-2.2900763358778664,,,-3.053435114503822,,,-3.816793893129777,,,-3.053435114503822,,,-4.580152671755733,,
643deae72229bd84d025fbec,2020-05-08,2.43,2.48,2.53,2.42,621877.0,207061193.0,4.53,2.0576131687242816,0.05,1.4,600282.0,256610122.0,0.0,3.404255319148941,,,,,,,,,,,,3.13,2.16,29.0,24.0,-1.2096774193548263,,,-2.822580645161288,,,-5.241935483870963,,,-8.467741935483875,,,-9.2741935483871,,,-8.064516129032262,,,-7.258064516129037,,,-8.870967741935488,,,-8.467741935483875,,,-10.483870967741924,,,-11.693548387096776,,,-11.290322580645151,,,-10.483870967741924,,
643deba12229bd84d02c2663,2020-05-08,2.5,2.47,2.52,2.46,114062.0,28281452.0,2.45,0.8163265306122547,0.02,1.23,506.0,32170247.0,2.0408163265306145,2.4590163934426146,,,,,,,,,,,,3.15,2.21,54.0,9.0,0.809716599190291,,,0.0,,,-1.2145748987854366,,,-3.238866396761131,,,-4.858299595141702,,,-3.643724696356288,,,-7.287449392712553,,,-7.287449392712553,,,-9.716599190283404,,,-10.526315789473696,,,-5.2631578947368585,,,-6.477732793522273,,,-9.311740890688258,,
643deaf32229bd84d0267727,2020-05-11,2.21,2.29,2.29,2.21,224843.0,52195576.0,3.62,3.619909502262453,0.08,1.26,600220.0,33701419.0,0.0,4.245283018867907,,,,,,,1.0363423212192264,,,1.8088336742348825,,3.24,2.29,55.0,2.0,2.620087336244548,,,0.4366812227074135,,,0.8733624454148492,,,4.366812227074246,,,9.170305676855882,,,7.860262008733621,,,7.423580786026207,,,6.986899563318794,,,3.056768558951961,,,7.423580786026207,,,10.917030567685584,,,11.79039301310043,,,11.79039301310043,,
643dea912229bd84d022731c,2020-05-11,2.61,2.59,2.65,2.56,59365.0,15371777.0,3.5,0.7782101167315147,0.02,0.46,600715.0,13719542.0,1.5564202334630295,3.1620553359683834,,,,,,,1.0295857988165682,,,1.0896509317511232,,3.38,2.45,44.0,10.0,1.9305019305019488,,,2.316602316602312,,,1.9305019305019488,,,0.7722007722007707,,,-0.3861003861003742,,,-0.7722007722007707,,,-2.7027027027026973,,,-4.247104247104239,,,-4.247104247104239,,,-5.791505791505792,,,-4.633204633204624,,,-3.861003861003842,,,-4.247104247104239,,
643dea682229bd84d020ce3b,2020-05-11,2.7,2.74,2.74,2.64,117717.0,31993591.0,3.83,4.980842911877415,0.13,2.18,600892.0,22596699.0,3.4482758620689724,7.14285714285714,,,,,,,1.0454985479186834,,,1.1166980109614122,,3.27,2.67,42.0,10.0,5.109489051094873,,,10.21897810218977,,,7.664233576642343,,,8.029197080291972,,,2.554744525547448,,,5.8394160583941535,,,4.744525547445244,,,3.2846715328467058,,,0.364963503649629,,,-3.649635036496357,,,-1.4598540145985384,,,-1.094890510948909,,,-2.554744525547459,,
