_id,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,代码,开盘收盘幅,开盘开盘幅,EMA121开盘比值,EMA121收盘比值,EMA121最高比值,EMA121最低比值,EMA9开盘比值,EMA4开盘比值,EMA9开盘动能4,EMA9收盘比值,EMA4收盘比值,EMA9收盘动能4,EMA9最高比值,EMA4最高比值,EMA9最高动能4,EMA9最低比值,EMA4最低比值,EMA9最低动能4,60日最高开盘价,60日最低开盘价,最高开盘价日期,最低开盘价日期,1日后总涨跌幅（未来函数）,2日后总涨跌幅（未来函数）,3日后总涨跌幅（未来函数）,4日后总涨跌幅（未来函数）,5日后总涨跌幅（未来函数）,6日后总涨跌幅（未来函数）,7日后总涨跌幅（未来函数）,8日后总涨跌幅（未来函数）
6433f9bd206dee23651715da,2020-10-27,3.22,3.21,3.24,3.19,142555.0,50571380.0,1.59,2.229299363057313,0.07,1.27,600368.0,2.547770700636942,3.536977491961424,1.001748341646526,0.9988941466927276,0.9958594762110397,1.0048421107437588,1.0243902439024386,1.0246618933969769,1.00026518164943,1.0212089077412514,1.0198570293884033,0.9986761980407728,1.02279901788846,1.021276595744681,0.9985115138779443,1.0224358974358978,1.0232558139534895,1.000801924619087,3.75,3.04,13.0,55.0,0.3115264797507899,0.9345794392523477,-0.6230529595015577,1.5576323987538832,3.1152647975077885,2.8037383177569986,3.738317757009346,4.672897196261672
6433f959206dee2365149ea7,2020-10-27,3.9,3.94,4.04,3.9,104850.0,46927756.0,3.59,1.025641025641022,0.04,0.88,863.0,0.0,4.000000000000004,1.134729603000938,1.1442766963492792,1.1533869711912792,1.1559943167899662,1.0471360381861583,1.0317460317460316,0.98530276308054,1.0466351829988196,1.031413612565445,0.9854566608493308,1.054524361948956,1.0345710627400768,0.9810783895290938,1.059462722607908,1.0393071285809452,0.9809756458657188,4.8,3.78,35.0,7.0,-1.269035532994922,-1.015228426395942,0.50761421319796,-2.284263959390864,-3.5532994923857864,-4.314720812182737,-3.8071065989847663,-0.25380710659898
6433fa29206dee2365198237,2020-10-28,2.0,1.88,2.0,1.87,109351.0,21301828.0,6.84,-1.0526315789473717,-0.02,0.96,600280.0,5.263157894736836,9.890109890109876,1.2388655677280638,1.161323259138248,1.2155917219208354,1.17530646166632,1.0928961748633883,1.0796221322537114,0.9878542510121456,1.0323367907260523,1.0189701897018968,0.9870520927431496,1.0797840431913626,1.0638297872340428,0.9852245862884156,1.03953057442866,1.0331491712707177,0.9938612645794958,2.72,1.85,28.0,0.0,0.0,3.1914893617021267,8.510638297872353,7.446808510638303,12.765957446808528,17.553191489361698,23.404255319148938,29.78723404255319
6433f56e206dee23650a6230,2020-10-28,2.0,1.96,2.01,1.94,55934.0,11072426.0,3.5,-2.0000000000000018,-0.04,3.84,603157.0,0.0,5.820105820105836,0.7374451487079476,0.7188409311348202,0.7213061272910606,0.729981030568772,0.9922822491730978,1.0282776349614404,1.0362753499000297,0.9767441860465104,1.0103092783505156,1.0343642611683863,0.9820846905537456,1.010050251256281,1.0284757118927972,0.9797979797979786,1.0210526315789472,1.042105263157896,1.95,1.23,19.0,50.0,-2.5510204081632626,-6.632653061224481,-11.22448979591837,-11.734693877551017,-10.20408163265306,-10.71428571428571,-9.183673469387754,-9.183673469387754
6433f5e4206dee23650c74c8,2020-10-28,3.49,3.77,3.83,3.48,1083100.0,637302608.0,10.51,13.213213213213203,0.44,5.02,600507.0,4.804804804804808,6.727828746177367,1.056966936149976,1.1412238566996895,1.133856919162263,1.077399380804953,1.0533199195171026,1.0512048192771084,0.997991967871486,1.121652892561983,1.1071953010279,0.9871104584760974,1.1238995761330286,1.110949963741842,0.988477963097253,1.0591816029759893,1.058555133079848,0.9994085340092944,5.84,3.7,19.0,0.0,1.0610079575596787,3.4482758620689724,8.753315649867366,8.222811671087538,9.54907161803713,14.323607427055697,20.15915119363396,29.70822281167107
6433f633206dee23650e4ff1,2020-10-28,3.51,3.52,3.57,3.45,144995.0,71902656.0,3.42,0.2849002849002913,0.01,1.51,600740.0,0.0,4.154302670623133,1.0526694096069007,1.0534751422211233,1.049668310937235,1.0515378221113882,1.007977026164646,1.0255661066471873,1.0174498823147466,1.0079541839007322,1.0202898550724635,1.012238325281803,1.007525870178739,1.0236559139784949,1.0160095579450423,1.0061568373298768,1.0184501845018443,1.0122181221812212,4.93,3.46,50.0,0.0,0.2840909090908949,1.4204545454545414,3.125,6.25,13.636363636363647,13.068181818181811,15.625,25.85227272727273
6433f920206dee23651344d1,2020-10-30,0.82,0.79,0.82,0.78,376290.0,74978166.0,5.13,1.2820512820512775,0.01,1.46,981.0,5.12820512820511,12.328767123287676,1.2684735361800057,1.2195713192140851,1.2432026061897006,1.2293864790933955,1.09171597633136,1.0718954248366024,0.9818445896877288,1.0486725663716807,1.0259740259740258,0.9783549783549788,1.07267441860465,1.047923322683706,0.9769258075967352,1.0588235294117632,1.050505050505049,0.9921436588103256,1.02,0.73,50.0,12.0,0.0,-2.531645569620256,-2.531645569620256,0.0,-1.2658227848101222,-1.2658227848101222,-2.531645569620256,-2.531645569620256
6433f4d7206dee236508d3a4,2020-10-30,2.1,2.15,2.23,2.07,1093458.0,717631536.0,7.8,4.878048780487809,0.1,1.26,601919.0,2.4390243902439046,10.526315789473696,3.114734003432214,3.150660046021557,2.9792425748040183,3.3665322580645154,1.150334753499696,1.1009174311926604,0.9570409203436724,1.1449704142011836,1.0790464240903388,0.9424229750453088,1.150143266475645,1.0958230958230957,0.9527709527709524,1.1607476635514018,1.104,0.951111111111111,10.24,2.1,52.0,1.0,-5.116279069767438,8.372093023255811,11.627906976744184,27.441860465116296,34.88372093023256,61.39534883720932,60.46511627906979,33.02325581395349
6433f54c206dee236509a252,2020-10-30,2.28,2.2,2.31,2.18,569613.0,135822298.0,5.99,1.382488479262678,0.03,2.81,601388.0,5.069124423963123,7.042253521126751,1.172709883103081,1.1263434035711266,1.153808049535604,1.145624321389794,1.0234413965087283,1.039908779931585,1.0160902065120991,0.9919839679358716,1.0045662100456627,1.0126839167935064,1.0216216216216227,1.0393700787401567,1.0173728283964487,0.9979654120040689,1.0127758420441353,1.014840624596723,3.56,2.22,17.0,0.0,5.909090909090908,8.18181818181818,7.727272727272716,13.636363636363624,12.72727272727272,20.0,20.0,15.909090909090896
6433f653206dee23650f0478,2020-10-30,3.09,3.11,3.25,3.02,2779144.0,871003872.0,7.49,1.3029315960912058,0.04,4.23,600166.0,0.6514657980456029,5.460750853242313,1.3651599240543302,1.366958480148207,1.397824618775104,1.359803520261973,1.028096118299445,1.0404040404040404,1.0119715675271237,1.0275330396475766,1.0289495450785773,1.0013785497656469,1.045763317840544,1.044176706827309,0.9984828201695664,1.0279878971255665,1.0413793103448274,1.0130268199233723,3.65,2.81,13.0,54.0,0.6430868167202508,-1.9292604501607744,1.6077170418006492,6.430868167202575,-0.9646302250803762,-0.9646302250803762,-5.466237942122188,-8.038585209003212
