日期,日期,收益率,资金余额
0,2020-03-14 00:00:00,0.008616438356164213,1.0086164383561642
1,2020-03-15 00:00:00,-0.04434549356223183,0.9638888445822797
2,2020-03-16 00:00:00,0.07458905078511813,1.0357843985620363
3,2020-03-21 00:00:00,-0.043745831789551604,0.9904731484922996
4,2020-03-22 00:00:00,0.05696337807897822,1.0468938449269425
5,2020-03-24 00:00:00,0.01395659224148682,1.0615049154407101
6,2020-03-25 00:00:00,0.009236386138613772,1.071309384727757
7,2020-03-26 00:00:00,0.014014180868267001,1.0863229082112036
8,2020-03-27 00:00:00,0.07025316455696196,1.1626405302437628
9,2020-03-28 00:00:00,0.0620263671875001,1.2347548986797323
10,2020-03-29 00:00:00,0.1364643279463933,1.403254896106579
11,2021-05-24 00:00:00,-0.15823872580794518,1.1812056293629134
12,2021-05-30 00:00:00,-0.003695307793188496,1.1768407109953705
13,2021-06-08 00:00:00,0.15259238272940467,1.3564176391791207
14,2021-06-09 00:00:00,-0.05949145086526042,1.2757223858451234
15,2021-06-10 00:00:00,-0.004071309602045381,1.270528525046088
16,2021-06-11 00:00:00,0.08967683627793921,1.3844655035730977
17,2021-06-12 00:00:00,-0.009704890419769074,1.3710294175709703
18,2021-06-13 00:00:00,-0.22081538638719334,1.0682850269818278
19,2021-06-14 00:00:00,-0.09535171412952659,0.9664222184802029
20,2021-06-15 00:00:00,-0.3293119677842249,0.6481678160020912
21,2021-06-16 00:00:00,-0.35266756910627406,0.41958004795971093
22,2021-06-17 00:00:00,-0.2558996297533176,0.3122096690349417
23,2021-06-18 00:00:00,-0.16070394458524928,0.2620363436833714
24,2021-06-19 00:00:00,-0.2618437760073732,0.19342375800215167
25,2021-06-20 00:00:00,-0.23992044475677832,0.14701744395574798
26,2021-06-21 00:00:00,0.02061421098466054,0.15004809256387727
27,2021-06-23 00:00:00,0.0063913844979874845,0.15100710761664263
28,2021-06-24 00:00:00,0.07250564174401197,0.16195597486229438
29,2021-06-25 00:00:00,0.1517324593302498,0.18652995323137841
30,2021-06-26 00:00:00,0.17553318928992323,0.21927215082018248
31,2021-06-27 00:00:00,0.18280748077643105,0.25935674031604966
32,2021-06-28 00:00:00,0.12715914897079017,0.29233632269447674
33,2021-06-29 00:00:00,0.0364492594712329,0.3029917651732338
34,2021-06-30 00:00:00,0.06597548377445261,0.3229817934602132
35,2021-07-01 00:00:00,0.12872847922995767,0.36455874855131076
36,2021-07-02 00:00:00,0.026680340481650244,0.374285300088224
37,2021-07-03 00:00:00,0.020267930546778334,0.3818712885550922
