日期,日期,收益率,资金余额
0,2020-11-17 00:00:00,0.03664323189926555,1.0366432318992655
1,2020-11-19 00:00:00,-0.036976599063962556,0.998311690740956
2,2020-11-20 00:00:00,-0.03093437500000007,0.9674295425326912
3,2020-11-21 00:00:00,-0.061885960517085836,0.9075592360604506
4,2020-11-22 00:00:00,-0.07745208644967871,0.8372668796508922
5,2020-11-23 00:00:00,-0.06062520559120754,0.786507402937348
6,2020-11-24 00:00:00,-0.1156028866541976,0.6955848767828945
7,2020-11-25 00:00:00,-0.09373821554780959,0.630381991671223
8,2020-11-26 00:00:00,0.11472634297480111,0.702703412252834
9,2020-11-27 00:00:00,0.03343949044585992,0.7262014562931357
10,2020-11-28 00:00:00,0.01547606793618117,0.737440199366082
11,2020-11-29 00:00:00,0.13001159054563605,0.8333159726179572
12,2020-11-30 00:00:00,-0.0024887155709768516,0.8312420861813592
13,2020-12-01 00:00:00,0.0258480601748472,0.8527280816448405
14,2020-12-02 00:00:00,0.013618771912922822,0.8643411908925058
15,2020-12-03 00:00:00,-0.028313160990741326,0.8398689596038372
16,2020-12-04 00:00:00,-0.03717558479128735,0.8086463398825144
17,2020-12-05 00:00:00,-0.0686119402985077,0.7531635454878886
18,2020-12-06 00:00:00,-0.10169618955492998,0.6765696828000891
19,2020-12-07 00:00:00,-0.1384532332870969,0.5828964226723912
20,2020-12-08 00:00:00,-0.03825921309723024,0.5605952642237549
21,2020-12-09 00:00:00,-0.08714285714285708,0.5117433911985421
22,2020-12-10 00:00:00,-0.0028000000000000247,0.5103105097031861
23,2020-12-11 00:00:00,0.190014534883721,0.6072769238507116
24,2020-12-13 00:00:00,-0.037780612244897926,0.5843336298654335
25,2020-12-14 00:00:00,0.11106480482012837,0.6492325304162749
26,2020-12-15 00:00:00,0.056458593846868244,0.6858872861632219
27,2020-12-16 00:00:00,0.041920305857934714,0.714639890983253
28,2020-12-17 00:00:00,-0.01860166712540623,0.7013463976166459
29,2020-12-18 00:00:00,-0.009248101132465547,0.6948602752025967
30,2020-12-19 00:00:00,-0.2013662720028926,0.5549388520221459
31,2020-12-20 00:00:00,-0.1505619617102637,0.47138616983244985
32,2020-12-21 00:00:00,-0.11890862554986514,0.41533428827445795
33,2020-12-22 00:00:00,-0.0719287749294234,0.38545980173269223
34,2020-12-23 00:00:00,0.0471464902393941,0.4036328785127614
35,2020-12-24 00:00:00,-0.010960000000000192,0.3992090621642615
36,2020-12-25 00:00:00,-0.08805271906910472,0.36405761876367104
37,2020-12-26 00:00:00,-0.013682122489461879,0.3590765378305247
38,2020-12-27 00:00:00,-0.025117107828997787,0.3500575737109722
39,2020-12-28 00:00:00,-0.04224418460486068,0.33526967694479626
40,2020-12-29 00:00:00,0.14701031624338534,0.3845577781792684
41,2020-12-30 00:00:00,0.6812245985205123,0.6465279962273808
42,2020-12-31 00:00:00,0.09904275812145591,0.7105619121764788
43,2021-01-01 00:00:00,0.05043180940458902,0.7463968351015233
44,2021-01-02 00:00:00,0.005113898597963296,0.7502138328300733
45,2021-01-03 00:00:00,0.053243082911049955,0.7901575301324614
46,2021-01-04 00:00:00,0.12948300845203353,0.8924695042850408
47,2021-01-05 00:00:00,0.32736478020268467,1.1846325873929122
48,2021-01-06 00:00:00,0.08510912360231204,1.2854556286966623
49,2021-01-07 00:00:00,0.004671140163565957,1.2914601721123493
50,2021-01-08 00:00:00,0.18162339928649152,1.5260195586145116
51,2021-01-09 00:00:00,-0.09004294217293773,1.3886122677434132
52,2021-01-10 00:00:00,-0.0860455103371549,1.2691284165049972
53,2021-01-11 00:00:00,0.22295261504530184,1.5520839157930892
54,2021-01-12 00:00:00,0.1055107995486051,1.715845530714948
55,2021-01-13 00:00:00,0.031569605643447574,1.770014097464691
56,2021-01-14 00:00:00,0.2065331017911205,2.135580599228084
57,2021-01-15 00:00:00,0.16625783615416379,2.4906376085885578
58,2021-01-16 00:00:00,0.03562025696500837,2.5793547602131963
59,2021-01-17 00:00:00,0.0008189105901295068,2.581467021142036
60,2021-01-18 00:00:00,-0.08954391627018377,2.350312354346653
61,2021-01-19 00:00:00,-0.06671763931381802,2.1935050624145425
62,2021-01-20 00:00:00,-0.018556199145595587,2.152801945649506
63,2021-01-21 00:00:00,0.06961404061859677,2.302667187737745
64,2021-01-22 00:00:00,0.04798650043675057,2.4131641277478133
65,2021-01-23 00:00:00,-0.031075850508169633,2.3381730000622447
66,2021-01-24 00:00:00,0.14938960306978988,2.687471736450043
67,2021-01-25 00:00:00,0.10026294299456495,2.9569255619612385
68,2021-01-26 00:00:00,0.10598074935258928,3.2703027487977168
69,2021-01-27 00:00:00,0.168833118351432,3.822438159830495
70,2021-01-28 00:00:00,-0.0354961549277496,3.6867563027074097
71,2021-01-29 00:00:00,0.04638998312725584,3.8577848653843105
72,2021-01-30 00:00:00,0.15652404306481804,4.461620949788528
73,2021-01-31 00:00:00,0.10481892326833653,4.9292832537768145
74,2021-02-01 00:00:00,0.1952328538284691,5.8916412907405435
75,2021-02-02 00:00:00,0.20128841018011245,7.077560399505213
