日期,收益率,资金余额
2020-12-14,0.0013847533632285192,10013.847533632284
2020-12-25,-0.04695865237366004,9543.610748377612
2020-12-28,0.06656385542168697,10178.870274433477
2020-12-29,0.05038280991735533,10691.710360643678
2020-12-30,-0.0010695005313496875,10680.275570731932
2021-01-04,-0.1637333333333334,8931.558450617424
2021-01-05,-0.06325326537113729,8366.608213762696
2021-01-06,-0.13827192575406033,7209.741184015989
2021-01-08,-0.07574189850390878,6663.6616990167995
2021-01-11,-0.02582411149825803,6491.578556314718
2021-01-13,0.037835906976744216,6737.193318703669
2021-01-14,0.07349662487945996,7232.354288788837
2021-01-15,0.030779532184750824,7454.962770392133
2021-01-18,0.009093334868595093,7522.753243296218
2021-01-19,-0.11871436950146641,6629.694335103196
2021-01-20,0.02036499679692505,6764.708039002165
2021-01-21,-0.07118486007136537,6283.163243822155
2021-01-25,0.004008988764044874,6308.352374669298
2021-01-26,-0.06742217036172693,5883.0295661625405
2021-01-28,-0.06326588235294128,5510.834509750826
2021-01-29,-0.09391658257470226,4993.275765460294
2021-02-01,-0.07471128657796422,4620.221708784186
2021-02-02,-0.06617223199520594,4314.491326001233
2021-02-04,-0.013958155423671625,4254.268985498825
2021-02-05,0.06168267311536901,4516.683668676202
2021-02-08,0.16880036534702358,5279.10152210568
2021-02-09,0.3000745661939548,6863.225621245388
2021-02-10,0.29316511212665497,8875.283930048323
2021-02-18,0.25080182524705164,11101.221339290269
2021-02-19,0.19447615079671254,13260.144134497767
2021-02-22,0.22564700591900633,16252.255956501662
2021-02-23,0.4649547683923705,23808.819860610416
2021-02-24,0.36909306930693075,32596.490259538925
2021-02-25,0.13526117733357768,37005.52990898666
2021-02-26,0.2584531154239018,46569.72440187664
2021-03-01,0.2588924791086351,58626.27580368439
2021-10-28,0.14887804878048772,67354.44135260364
2021-12-31,-0.02143576158940408,65910.64760578172
2022-01-04,-0.03012571428571431,63925.04226762354
2022-01-10,-0.08969411764705881,58191.342005878105
2022-01-12,-0.05256241299303954,55132.66465474593
2022-01-17,0.013681632653061326,55886.96951973658
2022-01-18,-0.04553936430317851,53341.912454976664
2022-01-20,-0.06463030303030326,49894.40848879561
2022-01-21,-0.11699296482412047,44057.11371154565
2022-01-24,-0.060329411764705965,41399.173957277344
2022-01-28,0.11234782608695637,46050.28115317319
2022-02-07,0.034611398963730666,47644.14580655764
2022-02-09,0.013565569620253015,48290.46578349398
2022-02-15,-0.006579551122194438,47972.7361951569
2022-02-16,-0.0504215158924205,45553.8781146899
2022-02-25,0.03176555269922865,47000.92223059632
2022-03-01,0.003455189873417863,47163.31934112878
2022-04-22,-0.12928818514007323,41065.65937833252
2022-04-26,0.07556591777050392,44168.82361810712
2022-04-27,-0.05393728688439425,41786.477107271065
2022-04-28,0.10437443277576519,46147.91695303998
2022-04-29,0.07488156470296281,49603.545182265996
2022-05-05,0.15097050938337797,57092.2176656541
2022-05-09,0.06347967729316761,60716.4132190211
2022-06-14,-0.00879866888519143,60182.18960321048
