_id,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,代码,昨日成交额,开盘收盘幅,SMA121开盘比值,SMA121昨日成交额比值,未来60日最高开盘价,未来60日最低开盘价,未来60日最高开盘价日期,未来60日最低开盘价日期,1日后总涨跌幅（未来函数）,10日最高开盘价比值,10日最低开盘价比值,2日后总涨跌幅（未来函数）,20日最高开盘价比值,20日最低开盘价比值,3日后总涨跌幅（未来函数）,30日最高开盘价比值,30日最低开盘价比值,4日后总涨跌幅（未来函数）,40日最高开盘价比值,40日最低开盘价比值,5日后总涨跌幅（未来函数）,50日最高开盘价比值,50日最低开盘价比值,6日后总涨跌幅（未来函数）,60日最高开盘价比值,60日最低开盘价比值,7日后总涨跌幅（未来函数）,70日最高开盘价比值,70日最低开盘价比值,8日后总涨跌幅（未来函数）,80日最高开盘价比值,80日最低开盘价比值,9日后总涨跌幅（未来函数）,90日最高开盘价比值,90日最低开盘价比值,10日后总涨跌幅（未来函数）,100日最高开盘价比值,100日最低开盘价比值,11日后总涨跌幅（未来函数）,110日最高开盘价比值,110日最低开盘价比值,12日后总涨跌幅（未来函数）,120日最高开盘价比值,120日最低开盘价比值,13日后总涨跌幅（未来函数）,130日最高开盘价比值,130日最低开盘价比值,14日后总涨跌幅（未来函数）,140日最高开盘价比值,140日最低开盘价比值,15日后总涨跌幅（未来函数）,150日最高开盘价比值,150日最低开盘价比值,16日后总涨跌幅（未来函数）,160日最高开盘价比值,160日最低开盘价比值
643f5dc3556c64e882e26394,2020-12-14,13.08,13.38,13.56,13.01,160727,214343911.0,4.23,2.92307692307694,0.38,2.5,603718.0,230054904.0,0.6153846153846176,0.4996085660891965,0.5035876749297968,14.45,10.24,29.0,34.0,-0.5979073243647215,0.8861788617886179,1.0,-2.3168908819133027,0.7143637356635719,1.0,-0.5231689088191382,0.6358774914924648,1.0,0.2989536621823552,0.5498108448928122,1.0,-0.1494768310911887,0.5232,1.0,-2.092675635276542,,,-1.644245142002998,,,-4.7085201793722,,,-6.427503736920781,,,-6.950672645739919,,,-9.566517189835588,,,-5.904334828101653,,,-5.754857997010476,,,-0.5979073243647215,,,-4.857997010463377,,,-3.4379671150971625,,
643f5bd3556c64e882d5ec17,2020-12-25,19.56,19.59,19.7,19.09,50843,98856587.0,3.12,0.2558853633572111,0.05,3.95,600593.0,110116394.0,0.1023541453428755,0.4989943201224519,1.7727268688999571,26.64,18.46,50.0,5.0,-3.6242981112812656,0.8578947368421052,1.027850761954808,-5.155691679428287,0.4635071090047393,1.027850761954808,-3.93057682491067,0.4448487605185353,1.027850761954808,-4.543134252169478,0.4448487605185353,1.027850761954808,-5.819295558958659,0.442834503056373,1.027850761954808,-3.1138335885655954,0.442834503056373,1.027850761954808,-3.879530372639106,,,-4.798366513527319,,,-3.011740684022457,,,-3.062787136294032,,,-1.1740684022460424,,,-2.2460438999489574,,,1.8887187340479892,,,4.900459418070446,,,3.420112302195011,,,1.939765186319553,,
643f5dc3556c64e882e2639e,2020-12-28,12.58,12.45,12.81,12.37,123435,155611277.0,3.51,-0.5591054313099031,-0.07,1.92,603718.0,219424870.0,0.4792332268370725,0.4886173955471098,0.4921863138113238,18.58,10.24,56.0,24.0,-2.8112449799196804,0.9367088607594936,1.0,1.1244979919678766,0.8523035230352304,1.0,1.2851405622489986,0.6870562534134353,1.0,6.8273092369478094,0.6115702479338843,1.0,2.248995983935753,0.5287936107608239,1.0,3.775100401606424,0.5032,1.0,-4.1767068273092285,,,-2.008032128514059,,,-7.79116465863453,,,-10.120481927710845,,,-13.654618473895574,,,-16.70682730923695,,,-13.734939759036136,,,-11.807228915662638,,,-11.084337349397588,,,-10.441767068273087,,
643f5dc3556c64e882e2639f,2020-12-29,12.45,12.1,12.58,12.08,136215,167762795.0,4.02,-2.8112449799196804,-0.35,2.12,603718.0,155611277.0,0.0,0.4846446357564761,0.350283244125591,18.58,10.24,55.0,23.0,4.049586776859515,0.9270290394638868,1.0,4.214876033057857,0.8434959349593496,1.0,9.917355371900838,0.6851953769950466,1.0,5.206611570247932,0.6052503646086533,1.0,6.776859504132227,0.5233291298865069,1.0,-1.4049586776859524,0.5200501253132831,1.0,0.8264462809917328,,,-5.1239669421487495,,,-7.520661157024799,,,-11.157024793388429,,,-14.297520661157026,,,-11.239669421487598,,,-9.256198347107436,,,-8.512396694214875,,,-7.851239669421483,,,-6.776859504132238,,
643f5bd3556c64e882d5ec1a,2020-12-30,18.6,18.82,19.49,18.41,59106,111911603.0,5.81,1.2917115177610403,0.24,4.59,600593.0,88077688.0,0.1076426264801089,0.4811812094312023,1.3851790910708777,26.64,18.46,47.0,2.0,-0.6376195536663132,0.911764705882353,1.0,-1.965993623804474,0.6066536203522506,1.0,0.8501594048884176,0.4230156925176257,1.0,0.0531349628055233,0.4230156925176257,1.0,-0.903294367693952,0.42110029431741,1.0,0.9564293304994642,0.42110029431741,1.0,0.9032943676939408,,,2.8692879914983926,,,1.7534537725823585,,,6.05738575982997,,,9.192348565356,,,7.651434643995758,,,6.110520722635493,,,2.6567481402763,,,1.0626992561105109,,,0.9564293304994642,,
643f5e27556c64e882e58fd9,2021-01-04,9.73,9.36,9.76,9.34,333223,444517968.0,4.38,-2.398331595411896,-0.23,10.41,603222.0,764735632.0,1.4598540145985384,0.3928007820449937,9.05019385052065,14.94,6.11,40.0,25.0,-3.525641025641024,0.4984631147540984,1.0462365591397849,-7.905982905982912,0.3229339528708928,1.0462365591397849,-13.888888888888872,0.3212281280950809,1.0462365591397849,-16.23931623931624,0.3212281280950809,1.0462365591397849,-15.49145299145298,0.3212281280950809,1.0462365591397849,-20.512820512820507,0.3212281280950809,1.0462365591397849,-20.940170940170933,,,-23.39743589743589,,,-20.619658119658112,,,-18.696581196581185,,,-19.23076923076923,,,-19.87179487179487,,,-19.337606837606835,,,-22.00854700854701,,,-23.931623931623925,,,-24.57264957264957,,
643f5e27556c64e882e58fda,2021-01-05,9.4,9.03,9.48,8.99,327324,423406928.0,5.24,-3.525641025641024,-0.33,10.23,603222.0,444517968.0,0.427350427350448,0.3814538442189983,5.094417839907042,14.94,6.11,39.0,24.0,-4.540420819490587,0.5353075170842825,1.010752688172043,-10.741971207087476,0.3119814138732161,1.010752688172043,-13.1782945736434,0.3103334433806537,1.010752688172043,-12.403100775193789,0.3103334433806537,1.010752688172043,-17.607973421926904,0.3103334433806537,1.010752688172043,-18.05094130675525,0.3103334433806537,1.010752688172043,-20.598006644518264,,,-17.718715393133998,,,-15.72535991140641,,,-16.279069767441857,,,-16.943521594684373,,,-16.38981173864894,,,-19.15836101882613,,,-21.151716500553707,,,-21.81616832779624,,,-23.477297895902534,,
643f5bd3556c64e882d5ec1d,2021-01-05,18.46,18.98,19.26,18.41,70773,133527110.0,4.61,2.872628726287263,0.53,5.49,600593.0,72232884.0,0.0542005420054225,0.4841048981361068,1.1130460013009955,26.64,18.7,44.0,2.0,-0.7903055848261453,0.9318525996971228,1.0,-1.7386722866175042,0.7534693877551021,1.0,0.1053740779768164,0.4334350786569617,1.0,0.0526870389883971,0.4198317034341597,1.0,2.002107481559534,0.4198317034341597,1.0,0.8956796628029506,0.4179307222096445,1.0,5.163329820864071,,,8.271865121180188,,,6.743940990516339,,,5.216016859852468,,,1.7913593256059013,,,0.2107481559536328,,,0.1053740779768164,,,5.163329820864071,,,6.69125395152792,,,5.7955742887249695,,
643f5e27556c64e882e58fdb,2021-01-06,9.06,8.62,9.08,8.54,284142,348450512.0,5.98,-4.540420819490587,-0.41,8.88,603222.0,423406928.0,0.3322259136212757,0.3696737121815012,4.739009697588336,14.94,6.11,38.0,23.0,-6.496519721577709,0.5734177215189874,1.0,-9.048723897911826,0.3006969797543976,1.0,-8.236658932714603,0.2991086167051832,1.0,-13.689095127610196,0.2991086167051832,1.0,-14.153132250580036,0.2991086167051832,1.0,-16.82134570765661,0.2991086167051832,1.0,-13.805104408352664,,,-11.716937354988389,,,-12.296983758700698,,,-12.99303944315544,,,-12.412993039443156,,,-15.313225058004631,,,-17.401392111368896,,,-18.097447795823665,,,-19.837587006960543,,,-11.716937354988389,,
643f5bd3556c64e882d5ec20,2021-01-08,18.7,19.0,19.21,18.55,46032,87009785.0,3.54,1.8766756032171596,0.35,3.57,600593.0,87500605.0,0.2680965147453085,0.4974224254481895,1.3218608519991235,26.64,18.93,41.0,0.0,-0.0526315789473819,0.9560327198364008,1.0130010834236185,1.89473684210526,0.8201754385964912,1.0130010834236185,0.7894736842105177,0.442080378250591,1.0130010834236185,5.052631578947375,0.4252899704343871,1.0130010834236185,8.15789473684212,0.4252899704343871,1.0130010834236185,6.631578947368433,0.4233642743943853,1.0130010834236185,5.105263157894724,,,1.6842105263157992,,,0.1052631578947416,,,0.0,,,5.052631578947375,,,6.578947368421062,,,5.6842105263157805,,,4.315789473684206,,,5.789473684210544,,,0.8421052631578885,,
