日期,收益率,资金余额
2014-07-24,0.011213456147376899,10112.13456147377
2014-07-25,0.051750862586258606,10635.446247618354
2014-07-28,0.0323886639676112,10979.914142278056
2014-12-23,0.12467030068577456,12348.78333989985
2014-12-24,0.04416314387355702,12894.14443520323
2014-12-25,0.0023470734927386605,12924.40793981864
2014-12-26,-0.046034838887929364,12329.434902587214
2014-12-29,-0.010201599748328127,12203.654942587953
2014-12-30,0.014778325123152802,12384.004523020289
2014-12-31,0.029632629202532623,12750.975137093435
2015-01-05,0.01534268577004183,12946.609341883475
2015-01-13,0.0077247191011236005,13046.618262361508
2015-01-14,-0.005714285714285672,12972.066158005156
2015-01-15,-0.005747126436781547,12897.514053648805
2015-01-16,0.0664234759978799,13754.211768823665
2015-01-20,0.06779220868560265,14686.640163361732
2015-04-17,0.05701941609427341,15524.063809863323
2015-04-20,0.05601174814905452,16393.593762231238
2015-04-21,0.056969359847958145,17327.52630447303
2015-04-22,0.055762652398912316,18293.75513072237
2015-04-23,0.05634826676636129,19324.576524986805
2015-04-24,0.05499410145497441,20387.314246976348
2015-04-27,0.0552956743761297,21514.64453698098
2015-05-12,0.05660419356274771,22732.463640785965
2015-05-13,0.05536244707071991,23990.988455886043
2015-05-14,-0.10998662594566544,21352.300582521726
2015-06-24,0.0544944570589021,22515.882609724726
2015-06-29,0.07661089945337096,24240.84462844225
2015-07-02,-0.10037804719071819,21807.595982385606
2015-07-06,-0.10930626057529613,19423.889213414186
2015-07-09,0.13930876583745877,22129.807247498444
2015-07-10,0.12666166469093576,24932.805472756132
2015-07-14,-0.14254719027988716,21378.70410681975
2015-07-17,0.04069775884355442,22248.769450946806
2015-07-20,0.05573531403076437,23488.811603093403
2015-07-24,-0.10257611241217801,21079.420623666025
2015-07-29,-0.03972927301600382,20241.950566689215
2015-07-30,0.0,20241.950566689215
2015-07-31,-0.09768492377188043,18264.617168588007
2015-08-04,0.019335307642293742,18617.769160511376
2015-08-05,-0.0062285523111204055,18501.807411378766
2015-08-07,0.09108688655095798,20187.079444046696
2015-08-10,0.033774743690693665,20868.892878133043
2015-08-11,-0.048068283917340526,19865.76101022638
2015-08-14,0.03888003870930934,20638.142567293868
2015-08-18,0.059704188238763445,21870.326116030017
2015-08-26,0.07558767072614425,23523.453125161886
2015-08-27,0.10632183594254263,26024.50984913744
2015-08-28,-0.05609022763468663,24564.78916761818
2015-08-31,-0.035584604212055226,23690.660867535906
2015-09-07,0.08218649747100759,25637.713307012145
2015-09-08,0.07893817673768777,27661.50765119124
2015-09-09,-0.04637466360045661,26378.714539185792
2015-09-11,-0.10783912908727256,23534.05693683822
2015-09-14,-0.1256884630648688,20576.09749076591
2015-09-15,0.10434095545224875,22723.027162431044
2015-09-16,0.005779610089117204,22854.357399474316
2015-09-17,0.04152466591120163,23803.376955102685
2015-09-18,0.10429145040047128,26285.865662179498
2015-09-22,-0.02118464718606161,25729.008872146012
2015-09-24,-0.06398580606517557,24082.717500203697
2015-09-25,0.014864597909022503,24440.697412400805
2015-09-28,-0.03221133994690106,23653.429799510617
2015-09-30,0.05868995599148574,25041.648553491592
2015-10-08,0.023189872008726464,25622.361178334573
2015-10-09,0.0998902577173606,28181.78543976571
2015-10-12,0.04232212135454616,29374.49838313526
2015-10-14,0.08544353442469377,31884.359346942787
2015-10-16,-0.014879384063215761,31409.939718610043
2015-10-19,0.05077431707101798,33004.757957064314
2015-10-20,-0.10131928385278133,29660.73951712017
2015-10-21,0.07502849076269347,31886.14003799508
2015-10-22,0.03765279844382419,33086.74244199726
2015-10-23,0.008839858668144629,33379.22456897382
2015-10-26,0.016074783349365296,33915.788372289884
2015-10-29,-0.01354258970319644,33456.48076590352
2015-10-30,-0.02717610882261101,32547.263803787737
2015-11-03,0.07995950472574043,35149.726897716624
2015-11-04,0.016001390945514338,35712.17141943505
2015-11-05,0.026840455543855724,36670.702368792954
2015-11-06,0.035921095682130755,37987.9541773133
2015-11-09,-0.00694078196206771,37724.28807018355
2015-11-11,-0.018190610086459613,37038.060255109565
2015-11-12,-0.041082603387355476,35516.44031541193
2015-11-17,-0.007800621669003638,35239.39000148165
2015-11-18,0.030448500393252864,36312.376581799756
2015-11-19,0.07982809392070767,39211.124390055775
2015-11-20,-0.012059646598468143,38738.25208718313
2015-11-23,0.007312005106466346,39021.506384260196
2015-11-24,-0.0022122421823020932,38935.18136181997
2015-11-25,0.07547259624315372,41873.72058439457
2015-11-26,-0.08847196471353014,38169.070254427796
2015-11-27,0.035499047425139096,39524.035889563194
2015-11-30,0.02174273858921172,40383.39666990059
2015-12-01,0.05645124187186035,42663.08956292043
2015-12-02,0.010331306986658628,43103.85503819428
2015-12-03,-0.016127842655193625,42408.682846306
2015-12-04,0.015399260932812187,43061.74521927314
2015-12-07,-0.013266813236154418,42490.45308782618
2015-12-08,-0.024385980246481864,41454.28173816238
2015-12-09,-0.021011673151750898,40583.257919539516
2015-12-10,0.005357977633140276,40800.70210775237
2015-12-15,0.0012517018821951442,40851.77242337552
2015-12-16,0.035256821017011664,42292.076051934164
2015-12-17,-0.013768959526281987,41709.75816849264
2015-12-22,-0.029324266893327677,40486.65008790361
2015-12-23,-0.022985989492119052,39556.02437441196
2015-12-24,0.013892000896257972,40105.53670047369
2015-12-28,0.0026296661885976125,40211.000874310485
2015-12-29,0.0,40211.000874310485
2015-12-30,-0.004110279865026878,40045.722407064226
2015-12-31,-0.09934738246461461,36067.28470701783
2016-01-04,0.008847605639011213,36386.39381857547
2016-01-06,-0.10445910389537483,32585.503726302868
