_id,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,代码,昨日成交额,开盘收盘幅,开盘开盘幅,SMA121开盘比值,SMA121收盘比值,SMA121最高比值,SMA121最低比值,SMA121成交量比值,SMA9开盘比值,SMA4开盘比值,SMA9开盘动能4,SMA9成交量比值,SMA4成交量比值,SMA9成交量动能4,未来60日最高开盘价,未来60日最低开盘价,未来60日最高开盘价日期,未来60日最低开盘价日期,1日后总涨跌幅（未来函数）,40日最高开盘价比值,40日最低开盘价比值,2日后总涨跌幅（未来函数）,80日最高开盘价比值,80日最低开盘价比值,3日后总涨跌幅（未来函数）,120日最高开盘价比值,120日最低开盘价比值,4日后总涨跌幅（未来函数）,160日最高开盘价比值,160日最低开盘价比值,5日后总涨跌幅（未来函数）,200日最高开盘价比值,200日最低开盘价比值,6日后总涨跌幅（未来函数）,240日最高开盘价比值,240日最低开盘价比值,7日后总涨跌幅（未来函数）,280日最高开盘价比值,280日最低开盘价比值,8日后总涨跌幅（未来函数）,320日最高开盘价比值,320日最低开盘价比值,9日后总涨跌幅（未来函数）,360日最高开盘价比值,360日最低开盘价比值,10日后总涨跌幅（未来函数）,400日最高开盘价比值,400日最低开盘价比值,11日后总涨跌幅（未来函数）,440日最高开盘价比值,440日最低开盘价比值,12日后总涨跌幅（未来函数）,480日最高开盘价比值,480日最低开盘价比值,13日后总涨跌幅（未来函数）,520日最高开盘价比值,520日最低开盘价比值
643c9e6e7bb07cf12acdeacb,2014-07-24,24.99,24.97,25.05,24.65,23932.0,27741255.0,1.61,0.4828973843058248,0.12,0.54,601700.0,35735682.0,0.5633802816901179,-0.715137067938032,0.7815652551507019,0.7815700364998435,0.769905839859179,0.7854928802239564,0.8321231731216846,0.9492677162030976,0.988919667590028,1.041771094402674,916.5056806093364,0.3921992789249426,0.0004279289121963,34.91,24.97,57.0,0.0,1.12134561473769,,,8.81057268722467,,,12.334801762114544,,,14.81778133760514,,,14.737685222266729,,,12.975570684821802,,,13.376051261513824,,,16.419703644373264,,,22.42691229475371,,,19.703644373247897,,,20.264317180616743,,,20.985182218662413,,,21.14537444933921,,
643c9e6e7bb07cf12acdeacc,2014-07-25,24.97,25.25,25.39,24.81,28834.0,33777868.0,2.32,1.12134561473769,0.28,0.66,601700.0,27741255.0,0.0,-0.0800320128051201,0.7818774665200231,0.7914109793783725,0.7816859658898634,0.7915920651202283,1.024065696798637,0.9577242701896436,1.0048289738430585,1.0491839928459654,1114.285714285715,0.7667903253686492,0.0006881451637923,34.91,25.39,56.0,0.0,7.603960396039611,,,11.0891089108911,,,13.544554455445557,,,13.465346534653456,,,11.722772277227731,,,12.118811881188108,,,15.12871287128712,,,21.069306930693067,,,18.37623762376237,,,18.93069306930693,,,19.64356435643564,,,19.8019801980198,,,18.61386138613861,,
643c9f0c7bb07cf12ad340a3,2014-07-25,62.41,63.36,64.05,62.36,112758.0,135854192.0,2.71,1.6035920461834552,1.0,1.95,600633.0,163563178.0,0.0801796023091716,-1.0150674068199803,0.796434631930536,0.8110925144993617,0.8010048152998163,0.8163027744661701,0.7575559354518353,0.9704220728736545,0.9819068596601636,1.0118348367247048,1761.6296630617796,0.865809109354874,0.0004914819087742,108.35,63.36,35.0,0.0,2.7462121212121104,,,5.839646464646475,,,4.924242424242431,,,8.17550505050506,,,5.334595959595956,,,6.755050505050497,,,10.748106060606055,,,9.832702020202031,,,8.759469696969703,,,10.495580808080817,,,10.590277777777768,,,10.08522727272727,,,12.75252525252526,,
643c9e6e7bb07cf12acdeacd,2014-07-28,25.39,27.17,27.27,25.39,105212.0,131165606.0,7.45,7.603960396039611,1.92,2.4,601700.0,33777868.0,0.554455445544555,1.6820184221065348,0.7960753218956406,0.8525524162701142,0.8405025179388819,0.8111585489820221,3.691549568186214,0.9820361854828308,1.0103461997612415,1.0288278728390157,4064.5061595913658,2.231053055685144,0.0005489112251485,34.91,27.39,55.0,0.0,3.23886639676112,,,5.5207949944791945,,,5.447184394552807,,,3.827751196172247,,,4.195804195804187,,,6.993006993006978,,,12.513801987486197,,,10.011041589988956,,,10.526315789473673,,,11.188811188811188,,,11.336032388663964,,,10.23187338976812,,,6.845785793154202,,
643c9dd07bb07cf12ac9bb51,2014-12-23,56.23,56.87,57.52,54.94,133207.0,58190592.0,4.59,1.1381824648764027,0.64,2.52,509.0,102254989.0,0.0,-9.583534330278177,0.7458025634589274,0.7548952172830315,0.7454104784926248,0.7481290415515952,0.4157169379810582,0.8603706222373352,0.903039306219136,1.0495933762485334,2062.4890326354357,0.7676198982899457,0.0003721813237033,130.15,56.87,59.0,0.0,12.467030068577456,0.6994651076004478,1.0,26.059433796377697,0.5926433389544687,1.0,23.50975909970108,,,18.41040970634782,,,15.298048180059777,,,15.298048180059777,,,9.073325127483734,,,9.073325127483734,,,16.72234921751363,,,15.579391594865498,,,17.566379461930715,,,19.83471074380168,,,20.397397573413052,,
643c9ee27bb07cf12ad1e515,2014-12-24,37.75,38.95,39.3,37.13,9066.0,13686792.0,5.81,4.200107009095766,1.57,0.7,810.0,12462591.0,0.989834135901546,2.137445887445888,0.7973031942747416,0.8237478916689237,0.8163689239717489,0.7997055881295412,0.6393970356545626,0.9232336956521742,0.9609877171768602,1.0408932448008372,223.45337532520853,0.7981687722850729,0.0035719700860344,92.93,38.95,54.0,0.0,4.980744544287541,0.7161828874976285,1.0213744588744589,3.46598202824131,0.7128021148036253,1.0213744588744589,4.107830551989711,,,4.621309370988436,,,6.110397946084722,,,6.4955070603337495,,,9.961489088575082,,,9.910141206675217,,,10.526315789473673,,,10.038510911424892,,,6.752246469833101,,,14.249037227214378,,,13.427471116816411,,
643c9dd07bb07cf12ac9bb52,2014-12-24,56.87,63.96,63.96,56.39,222662.0,104679245.0,13.31,12.467030068577456,7.09,4.22,509.0,58190592.0,0.0,1.1381824648764027,0.7562001362667318,0.8504506009294426,0.8305575320105206,0.7693658180161669,0.7176526650965133,0.8871767316092362,0.942570647219691,1.0624384225113486,3473.5457255772017,1.1658001518364356,0.0003356225148418,132.24,61.38,59.0,6.0,12.08567854909317,0.7074262968030849,1.011381824648764,9.81863664790492,0.5993887015177066,1.011381824648764,5.284552845528467,,,2.51719824890555,,,2.51719824890555,,,-3.017510944340207,,,-3.017510944340207,,,3.7836147592245073,,,2.767354596622895,,,4.534083802376476,,,6.5509693558474025,,,7.051282051282048,,,8.05190744215134,,
643c9e897bb07cf12acebda9,2014-12-24,16.44,16.96,17.08,16.32,107651.0,87230614.0,4.65,3.6674816625916975,0.6,2.72,600822.0,86039403.0,0.4889975550122383,0.4889975550122383,0.7540769831461962,0.7753245379395827,0.7685596664968422,0.7601508969127733,0.8359329255035002,0.8804522463552504,0.9421203438395428,1.070041388092967,5845.655846506565,0.8042013809126275,0.0001375724815194,25.28,16.18,54.0,4.0,0.9433962264151052,0.7004686834256498,1.0048899755501224,1.0613207547169878,0.6362229102167183,1.0048899755501224,-1.8867924528301885,0.6362229102167183,1.0048899755501224,-4.245283018867941,,,-1.4150943396226578,,,0.0,,,2.004716981132071,,,0.9433962264151052,,,10.672169811320751,,,7.488207547169812,,,2.004716981132071,,,2.830188679245293,,,1.1792452830188704,,
643c9f1e7bb07cf12ad3d142,2014-12-24,34.44,34.98,35.04,34.02,66410.0,75267923.0,3.01,3.094606542882405,1.05,1.74,600390.0,87079527.0,1.5030946065428763,0.3496503496503322,0.7974876852946933,0.8100197501377925,0.7945801591094374,0.8037371134020616,0.2602652431060452,0.894468011427583,0.9475856376392914,1.0593846012748205,1749.934123847166,0.673730984422317,0.0003850036268457,45.99,34.59,58.0,1.0,-0.6861063464836947,0.7055931161647203,1.003496503496503,5.3173241852487285,0.7055931161647203,1.003496503496503,4.030874785591787,,,1.6295025728988,,,1.3722126929674117,,,4.80274442538593,,,6.003430531732423,,,5.488850771869647,,,4.030874785591787,,,3.4305317324185403,,,3.859348198970847,,,4.373927958833623,,,0.7718696397941871,,
643c9e977bb07cf12acf3b98,2014-12-24,47.36,47.08,47.88,46.69,118411.0,238604514.0,2.54,0.426621160409546,0.2,4.88,600699.0,253138485.0,1.0238907849829282,-4.554615074566703,0.7911575726951688,0.7878974804397644,0.7854916406914146,0.7960806749118948,1.8651557423870588,0.8672933707728,0.9011940440511867,1.0390878962307526,2224.980687725745,0.9856228137166972,0.0004429803904159,91.38,45.79,57.0,4.0,4.757858963466455,0.7593394260060927,1.0,3.440951571792694,0.6950396243029058,1.0,-2.2090059473237056,,,-3.377230246389118,,,-3.377230246389118,,,1.274426508071369,,,5.4375531011044975,,,7.0305862361937255,,,6.457094307561606,,,9.409515717926942,,,13.466440101954124,,,14.252336448598136,,,11.087510620220907,,
