,_id_rank,时间_rank,开盘_rank,收盘_rank,最高_rank,最低_rank,涨跌幅_rank,涨跌额_rank,成交量_rank,成交额_rank,振幅_rank,换手率_rank,代码_rank,日期_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日成交额_rank,昨日成交量_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,过去2日总涨跌_rank,过去2日总成交额_rank,过去2日资金贡献_rank,过去3日总涨跌_rank,过去3日总成交额_rank,过去3日资金贡献_rank,过去4日总涨跌_rank,过去4日总成交额_rank,过去4日资金贡献_rank,过去5日总涨跌_rank,过去5日总成交额_rank,过去5日资金贡献_rank,过去6日总涨跌_rank,过去6日总成交额_rank,过去6日资金贡献_rank,过去7日总涨跌_rank,过去7日总成交额_rank,过去7日资金贡献_rank,过去8日总涨跌_rank,过去8日总成交额_rank,过去8日资金贡献_rank,过去9日总涨跌_rank,过去9日总成交额_rank,过去9日资金贡献_rank
"(0.0, 0.02)",5.457592977539846e-05,,0.0008385060048157981,0.0008385060048157981,0.0008385060048157981,0.0008385060048157981,0.00025180291930556567,0.0002792704886153052,0.0013402793171882537,0.0011136793332104807,0.001071706113424209,0.001043256707225327,0.0001027753509041226,,,0.00020249939351952534,0.0007348665365928206,0.001096643576015573,0.0009591259544121512,0.0007481887274803403,0.00045094082662284145,0.0003307057473322659,0.0009406960432215924,0.0009190950703388458,0.00032142021597091644,0.0009927487788291456,0.0009422088589077973,0.00017431072793776747,0.001282012002193669,0.0009331704335058564,0.00015111718972468568,0.0009348626936655172,0.0010470777315349218,0.00018186472708759784,0.0006735262711362678,0.001154766034705233,7.809344752714976e-05,0.00046122827233996107,0.0012809633075969492,2.5699323281592965e-05,0.0005896821321954636,0.0013712861592589279,8.274989264676991e-05,0.00043742580918780516,0.001371331576265132,9.203485481768594e-05
"(0.02, 0.04)",8.653586075989906e-05,,0.0005644566295180646,0.0005644566295180646,0.0005644566295180646,0.0005644566295180646,4.676401477103038e-05,0.000601425506782846,0.0010423193615987664,0.0007932253252667849,0.001093131787860794,0.0010107957214759303,0.00031521550033321505,,,0.00039150710611831745,0.0009079369358834147,0.0007699474881190126,0.0011346626038252624,0.000299726216798798,0.00031831182125384607,0.00030809321818016795,0.00030605611523400287,0.0009445118406602902,6.802873015918887e-05,0.00010107199507502709,0.000737084155706896,0.0002195176035714338,0.0002393113347086891,0.0007430596012736453,9.906356808107172e-05,0.00039715441163910056,0.0007163960833128602,1.4445342242715496e-05,0.00046747731396873946,0.0005010999762188361,5.181112981973895e-05,0.0006854620033919756,0.0004374230621817327,0.00010167683110810425,0.0005088197289989535,0.00026897536500720775,6.946418083717245e-05,0.000258923666934984,0.0003134434271840796,5.143943410201058e-05
"(0.04, 0.06)",-0.00016603491900860027,,0.00043861345966352217,0.0004380492139426606,0.0004339689707637674,0.00044708489808694915,-0.00031687599768596584,0.0002402347577957983,0.00045793316126975227,0.000751103836678779,0.00047031873727196684,0.0005611747350344537,0.00025371141526375215,,,0.0002156433978427524,0.000306385668963974,0.0005593794615958986,0.0005747277865935311,0.00022096637431426053,5.135269923660044e-05,0.0002012247356191499,0.00026308946722923175,0.0002058661368501073,0.00028747425755016107,0.00019621746498194715,0.00048055816890105966,0.0001397566977963119,8.426935809903513e-05,0.00048223795773182906,7.058268046069901e-05,0.0002216442396153536,0.0002790433128962673,1.2295570173667632e-05,-5.851218040009479e-06,0.00033466767320674553,7.29231055628714e-05,0.00017866452536332157,0.0003971160017047458,-6.040811046455215e-05,0.00029141354951493927,0.0005355306546983727,-3.423834076586882e-05,0.00046634560853384447,0.0004479686364122408,0.00010577229125063489
"(0.06, 0.08)",-0.0001071741426300625,,0.00025110331568109376,0.00025181256119661985,0.0002558038057826848,0.00024263092053609803,-0.00029569679916596916,0.00019066108827371983,0.00027385473519654126,0.0006040335889675181,0.0008231531447154084,0.0007705797050216247,0.0002345835106274494,,,0.00014189110250158437,0.0005976179272328369,0.0005547455262209676,0.00014928610658052684,0.000248157434025114,0.00028773511637757474,0.00030395327567496726,0.0003555365325714869,0.0006919468760619545,0.0002850165491473666,0.0002788067284056454,0.0003432970255293401,0.00013808633501010035,0.0002029806613034952,0.000290196606610639,0.0001783852978272938,6.180656550936908e-06,0.00020122629962169262,0.00011670373230954002,0.0002667353114423943,0.000299742446430948,7.577917871675924e-05,4.322347743455853e-05,0.00016788190988660526,0.00019112556046270074,-1.5799910282911503e-05,0.0001488230317159079,0.00029589830923676977,1.108850328301826e-05,0.00025273442228212193,0.00021251606292806832
"(0.08, 0.1)",3.7374574964571124e-05,,9.196404530775134e-05,8.002713080773496e-05,8.93613818675168e-05,0.00010398318044124861,-0.0002409281103748943,0.00021005142190241993,0.00047896661641298597,0.0007593291880141866,0.00045186682119580725,0.000654837289757161,0.0007150969967713287,,,8.411075101435284e-05,0.0004651557054417611,0.000681490831671105,0.00045237847311880983,0.0001711440820150828,0.00026507095975481675,0.00010668879401679943,0.00027115513165986793,0.0006409632257253834,0.00010728929906501996,-4.1289024901026425e-06,0.0007338374375773227,0.00019303641577344063,2.9101917400774066e-05,0.0004560122484834649,0.00024776070658535357,2.2881743373311187e-05,0.0005902321649690895,0.00027818952365381674,0.00014529242239642764,0.0004178884334114578,0.00028611144198436813,0.00013107018562969977,0.0005007174262389996,0.000347121988187979,0.00013906296745943637,0.0004908597005246128,0.00020772393487319938,0.00016877479884931142,0.0005702107696369267,0.00014321025313271488
"(0.1, 0.12)",-4.561348463814185e-05,,0.0003034599625261675,0.0003151571501809524,0.0003053217343868781,0.0002919594760599501,-0.0001702493880182734,0.00027783615601887696,0.000528764867332058,0.00047566237658204665,0.0006786554676790975,0.0008531535040804761,0.0002930006320178852,,,0.00016799917296415827,0.0005821185925552005,0.00034142563906627404,0.000420744306408818,0.00027522207682562094,0.000380009527652522,0.00033899143972348215,0.00012101079043372221,0.00045250744006529155,0.00017128188895064957,0.00023824861422741325,0.0004651975580499128,0.0002661158601077516,2.8856425063889007e-05,0.0006036137175978817,0.00028586263318567935,-8.543397425794966e-05,0.0006389348545772952,0.00027275182435081694,0.00016878756758505526,0.0007466553494823402,0.0002794447351591423,-3.0442500854605736e-06,0.0007100622557314558,0.00025685211737009315,5.9310815151488125e-05,0.0006262269844592608,0.00022773490859660287,0.00012865710075608063,0.0004352659417517675,0.00023944351679074783
"(0.12, 0.14)",2.900151740270214e-05,,0.0003952716576330015,0.0003988383679562026,0.0003988383679562026,0.0003952716576330015,-0.0001321137685820697,0.0003199830241784201,0.0006031462311753888,0.00021365948854159154,0.00046986808617004275,0.0002666289845687045,0.00021502861484696758,,,0.00036368805681481547,0.0008104669580316752,0.00029365659144554255,0.0006514829130877386,0.00030312127943222015,0.0003019059410507972,0.0003097848307825677,0.00012506786758866405,0.0002649295672154568,0.00017540759716858832,-1.6330980799605352e-05,0.0003960996786387429,0.00024568218107729416,-1.5459145042287732e-05,0.00027060208211640314,0.00014947626936838256,0.00016546976743907674,0.0003408446254526208,0.0002323851217390967,-0.00010074523347908517,0.00039447748909915854,0.0002278900986787179,6.882604959435107e-05,0.0002414767901600474,0.0002165445261541585,-0.00013306407965026816,0.0002253400369497563,0.0002531180918031874,-2.7627536261286965e-05,0.0002313750058313976,0.0003461637995924355
"(0.14, 0.16)",-0.00010179658658179392,,0.0003251239134055106,0.0003099969270762919,0.000323431373524543,0.0002911970008629085,-3.5250847794923473e-05,0.0004585602060675305,0.00048805990689790215,0.0004134408168757225,0.00017912046356339848,0.0011241610631293674,0.00045640320269965884,,,0.0002186587987036252,-1.8267365238851854e-05,0.00030978378846554096,0.00040451629070602474,0.00027233239029855305,0.00020208814948969713,0.0003297401942764004,0.00010270377394655155,0.00031990041930868605,0.0002930622622019092,0.0002600693928388404,0.0002394552289115771,0.0001823435512519933,9.775039954212802e-05,0.00024405108006703233,0.0003190872010083856,2.09078509320358e-05,0.0001128453463452012,0.00039734245596192123,-7.915001432875799e-05,4.537712224583947e-05,0.00023962934086593996,-9.176334498260385e-05,0.0001576186322811223,0.00017986038366670157,2.5969225101215647e-05,0.00019533018360324037,0.00020084879486115836,-0.00010902356003338164,0.00033048840009677167,0.00019527756009998464
"(0.16, 0.18)",8.630579833949973e-05,,0.000301929806559791,0.00030782843731715434,0.0002838405026625696,0.0003447463359203412,0.0001146901630320195,-0.0002658621163060735,0.00011444154896636784,0.0004792711209314686,0.00040303320623701863,0.0009386499467530081,0.00012100837008355576,,,0.0005163036784585946,0.0004407076943093351,0.0003901990851885124,4.231112611501857e-05,0.00031853227948272256,9.95320257185638e-05,0.00022890707510685664,0.00021696026708502156,0.0001908957024508291,0.0002495124781226798,0.00011785070738126467,0.0001895563114504087,0.00022425848963959546,4.294564781134944e-05,0.0002754618281174742,0.00025861714734847727,8.664393021509503e-05,9.782364187739118e-05,0.0002971643163439029,-5.9308215074778545e-05,9.887296087594603e-05,0.00024231823561047337,9.888187218276568e-06,9.426446533249735e-05,0.0002963864005677067,2.994325135859928e-06,0.00019994095826368977,0.0002061242784982287,3.862593264450869e-05,0.0002486440623717125,0.00018837443624605162
"(0.18, 0.2)",6.066744641239055e-05,,0.0009691709930414959,0.000989823466334969,0.0009856981481395737,0.000977726620275244,5.2359541374696216e-05,0.00034942410379751424,0.00046110229734548733,0.00040886134773906037,0.00044071351415005973,0.0005526202825226774,0.00011474610670091121,,,0.0006334745571222689,0.0004865263936304087,0.0004340197274812319,0.0004323638011413181,0.00027614872383393776,0.0002209508049503159,0.00028634671061029146,0.00015255606003303853,0.00044016965670473006,0.00023386605013924692,0.000133806107416377,0.00030758525035206024,0.00033924244426701913,0.000133002291818465,0.00035012924499232826,0.00031406950141599444,0.00011855568103265759,0.00025786771685695585,0.00011627234527857133,4.2002754890054426e-05,0.00022968616993233076,0.00021576849878805843,-0.0001048522770511435,0.0003742436218624583,0.0001736278688761772,-3.896097972081956e-05,0.00033733722980588043,0.0002897402494746776,0.00012091444708139206,0.0002169944097314788,0.00014446941555748376
