,_id_rank,timestamp_rank,代码_rank,日期_rank,开盘_rank,最高_rank,最低_rank,收盘_rank,成交量_rank,收盘timestamp_rank,成交额_rank,成交笔数_rank,主动买入成交量_rank,主动买入成交额_rank,开盘收盘幅_rank,涨跌幅_rank,昨日振幅_rank,昨日成交额_rank,昨日成交量_rank,昨日涨跌_rank,昨日资金贡献_rank,昨日资金波动_rank,过去2日总涨跌_rank,过去2日总成交额_rank,过去2日资金贡献_rank,过去3日总涨跌_rank,过去3日总成交额_rank,过去3日资金贡献_rank,过去4日总涨跌_rank,过去4日总成交额_rank,过去4日资金贡献_rank,过去5日总涨跌_rank,过去5日总成交额_rank,过去5日资金贡献_rank,过去6日总涨跌_rank,过去6日总成交额_rank,过去6日资金贡献_rank,过去7日总涨跌_rank,过去7日总成交额_rank,过去7日资金贡献_rank,过去8日总涨跌_rank,过去8日总成交额_rank,过去8日资金贡献_rank,过去9日总涨跌_rank,过去9日总成交额_rank,过去9日资金贡献_rank
"(0.0, 0.02)",-0.011878228405094256,,0.004015715582876735,,-0.0003186162584184239,-0.00023920749134567355,-3.97120808884913e-05,-0.00029064397519115855,0.01257459607855077,,0.004959320882834643,0.012065235447077166,0.012921388965263956,0.005512914547453664,0.011501389378438039,0.010683221757506337,0.015671599800916692,0.004013182606300441,0.012058656392853874,0.0136965044265187,0.014141372525710207,0.01335385755741285,0.015134501085357245,0.003807640510180584,0.017658010982214624,0.017823547757118252,0.003978163285897838,0.015126378301443448,0.01889452953719165,0.0035062150292974963,0.013549056392181147,0.01584742233355803,0.003423758188961655,0.010381997307889834,0.009213340911604402,0.0032899785895225257,0.011458734454328308,0.013160284079349731,0.003307344909980507,0.009917918166010994,0.006037732195656234,0.004129992709293752,0.007977546811949685,0.009623884230207809,0.004609665833318917,0.003762702513995397
"(0.02, 0.04)",0.004291013935616571,,0.00853988899069964,,0.005087353301702801,0.005750070091521151,0.004812650487898838,0.005155376046659543,0.01825475858752794,,0.002865498958067501,0.0034482830572590893,0.01971408764631311,0.0027906122548050564,0.006623659318115417,0.00677527019309365,0.00988069404382753,0.0011766332608062699,0.017326902484016683,0.008625949758389307,0.014221617444712694,0.0163285474783913,0.012562821971072754,0.001839752893506968,0.013067843604218839,0.010905370437766003,0.0038837577147207304,0.014497053494823525,0.007659402525517247,0.004867984379048618,0.012827021713780602,0.008301502315356013,0.0034168227818600553,0.014612887816781436,0.011172207584670864,0.0026575180411700368,0.012784187536544932,0.008653285454467413,0.003779755236947478,0.01202612985535783,0.011818873820121674,0.00324299389023917,0.012835965181498593,0.011506883463196256,0.004600858379880492,0.014894310251322549
"(0.04, 0.06)",0.002222801054155418,,0.002947766217370646,,0.006215670676020948,0.005567160069810354,0.006342609970847419,0.006237423817346378,0.010930867101744828,,0.002819656060446393,0.003578343400591342,0.008940403586285133,0.004394663446323704,0.013828267121648708,-0.00471072800626912,0.0021368336434456426,0.0034312932796515044,0.01147449615584329,0.002564828050533623,0.011096635285948581,0.015705547661866347,0.009107303478248134,0.002865084805686463,0.008381773142037965,0.0034214501798663275,0.0026925214387273516,0.007483184385904809,0.004883783153452644,0.0010137019830927677,0.010823419019907535,0.0031282727761116165,0.0034716656742135843,0.012690522757415126,0.004260924558108318,0.002859702341216186,0.012606333818417225,0.006340968618384656,0.00190232748834773,0.013265086969969187,0.010016110446244309,0.0019706456682793646,0.013374915453334916,0.006369116629070512,0.0002283424844462109,0.018288169522172437
"(0.06, 0.08)",0.0015170565110619347,,0.0028177302974249315,,-0.002877783919042007,-0.0031192508698541935,-0.0020406127161409792,-0.002590209881864066,0.015312791387560722,,0.006167448533395386,0.003753661232711457,0.0156820915424507,0.006060277229495428,0.007805964033716918,0.008706393242317619,0.0051884333001611565,0.0052028362682008215,0.011963756782230738,0.01200569104302732,0.02106188074223451,0.017300026613723457,0.001626814171633089,0.006449089984762071,0.017149098357339947,0.007437797992567201,0.003726115828603984,0.020993045955292024,0.010692949450561413,0.005841494267879512,0.01748981059059137,0.011727207484191633,0.00551408995335513,0.01380024126188524,0.009254989321107134,0.007522931477372028,0.014648484050868604,0.006695848782390391,0.006547580039915703,0.017687650485299085,0.008542153596182206,0.004727711382455519,0.020611405544619356,0.011443575635777857,0.0029469299306122848,0.019075986151974336
"(0.08, 0.1)",0.007730439104242743,,-0.0001371574798360544,,0.0029484397990321306,0.0035042909601131276,0.002842056081103686,0.0025662532579026932,0.00569619618922073,,0.00906807179105728,0.0021662252952014877,0.006116050734291306,0.006269787060265791,0.004053004382134132,0.002926915420427206,0.004312924619149998,0.006710622023922481,0.007520300926748377,0.0038576911332684747,0.017338879388379552,0.011223695777392536,0.00622439082049673,0.0066950802005092715,0.016477303933972596,0.011022306775998192,0.008360047490484706,0.013182989534177411,0.0034589301474231555,0.00627060013052152,0.013984882792721153,0.006332517632540023,0.005170723845759885,0.0179859242650366,0.010001866935111188,0.00669573323611655,0.021561321697558786,0.005665877339493834,0.005693334495299938,0.018927528650633726,0.006096991350759317,0.006430033587185228,0.01852898775631452,0.012278362191164242,0.008148451618349931,0.015183457286100328
"(0.1, 0.12)",0.012487801584503593,,0.009597418944707321,,0.0036613992860490886,0.0033172174954571214,0.0026706219158434603,0.0036624568089384385,0.012908199932677174,,0.0008765379374334808,0.007329576360652738,0.014647124884131585,0.0019232696253103907,0.01415793777483047,0.01155243046716021,0.00686922873831387,0.002888513071107446,0.012987084991022989,0.010220291501105105,0.01059890390312077,0.013212500919099895,0.007100408132007665,0.005182556284532324,0.016787192790351818,0.007088103685817063,0.009719555749288185,0.01237461805270472,0.010924032801831197,0.005021541872662792,0.012207470200447908,0.0056551210913903405,0.0052858039941223855,0.01254169307414814,0.005077284410523241,-0.0011675916855807633,0.013203175517865222,0.005274701993925853,0.002567020598627056,0.014549622877133262,0.004267616068077574,0.004559352602007429,0.01506191045805553,0.006271357699383505,0.0016311815109254842,0.0170024802521936
"(0.12, 0.14)",0.008253107387221126,,0.00914594309851494,,-0.0001568329657310178,-0.0005888024759596927,0.00029029454578451716,-0.0007981343216606274,0.012433240791394976,,0.004785964439041468,0.0047309179836539815,0.012072031788092236,0.002965761179119978,0.013006279601651781,0.004530548804049511,0.011485118193382231,0.005497879026948168,0.011650634615520052,0.006524389252155653,0.015632827212292446,0.018830848251908172,0.007928613325693007,0.00470025778225958,0.020460812236689673,0.007306303885389098,0.0004206787880087065,0.020678265522537816,0.005002041774208556,0.009736626981024931,0.022171018616519485,0.007505048778459106,0.00954158890264633,0.021276352242253115,0.005668840033257647,0.01361325288161995,0.02163811962727211,0.0030417224704582437,0.011027952112168326,0.021391192767302232,0.010628550815322156,0.009456685988145058,0.01793811601119748,0.010224868695816222,0.01113678361897447,0.015074384392771673
"(0.14, 0.16)",0.012449150367595028,,0.010298252783247391,,0.0025898943149726596,0.002742209042033139,0.002985123083567737,0.003536113912580299,0.008999613659940063,,0.010828592021228005,0.006753621976069468,0.008850289738758281,0.011210802473160723,0.010479069893035072,0.007629687959100142,0.006150224172176393,0.0101459047598604,0.012092746822593549,0.0072759227847657895,0.01595239070960335,0.013853570430700138,0.005791499091838299,0.008829353429132424,0.012251123327022382,0.004213162074474625,0.006307446472394183,0.018157681086571432,0.005973980864387291,0.003923025090895771,0.020835696828001744,0.008300438753648684,0.00507393846849276,0.015622683883242748,0.008906891107894232,0.009441641826142513,0.013447411580285616,0.011121341503601532,0.010104588723763653,0.010923059777586442,0.005343219749723645,0.008720065848640709,0.012190717055725808,0.005974903054917942,0.006057320644010615,0.014551655969985674
"(0.16, 0.18)",0.0034151700115709607,,-0.005590428229556809,,0.011813709639517595,0.011744817296284252,0.010739706305330153,0.011525039613171213,0.009020925594196844,,0.0027932497420999495,0.0006674127817516338,0.007468646384586581,0.005662430654118369,0.00993327641383841,0.007169873999662437,0.00019480875949668436,0.00027780908128041074,0.010018410675404108,0.0054565247690607915,0.016134568528643208,0.013454274009331892,0.008814381112721151,0.0015223965071407965,0.016507386183006068,0.0031636670543564237,0.0011294072008260372,0.008381695650050548,0.008939424751626826,-0.0008939580954263204,0.0073975126885824916,0.004571998859603719,-0.0006219419243973072,0.01217322788838763,0.007925403437905406,0.0009925489779050516,0.013641096014040633,0.008211404583137126,0.003153275139042429,0.01401091196100536,0.00749918650593448,0.007440358129469641,0.012868820574821499,-0.002213183586628246,0.01782618892302809,0.013761094509536309
"(0.18, 0.2)",0.006311410361539915,,0.004186018458263248,,0.008826391790496468,0.009403569502771087,0.008125824410890612,0.008551304096414015,0.009537765404152406,,0.010920341279642254,0.006635371751868231,0.010237659789096567,0.00705499863829215,0.006090733112018097,0.007532962263148855,0.006097447384015375,0.009435786037981127,0.011243240775853858,0.010675105672213078,0.01238099466697044,0.011384874646955322,0.011360001259366778,0.004074678175146214,0.013297218234423345,0.007055596201648459,0.00678710672096767,0.014221829107234409,0.007847911527672237,0.007000888256256855,0.013872267653821718,0.00871352255282972,0.007331955347048272,0.013761382145269133,0.004718074929764373,0.0023763981060873213,0.013029046135367988,0.006633521511531714,0.004560143762621083,0.013305514873990175,0.009278119190887463,0.0019898289850954405,0.011905039209934055,0.005778197715700456,0.0026516209566725605,0.011335307497213136
